system:index,ETa
1987_05_01,1.429827943319539
1987_06_01,1.094978827301352
1987_07_01,1.2582178904436094
1987_08_01,2.3347760626815286
1987_09_01,2.4603029970842574
1987_10_01,2.7075138419071227
1987_11_01,3.0260112418491896
1987_12_01,3.0751359767432196
1988_01_01,3.5527081089333663
1988_02_01,3.449292297078268
1988_03_01,2.709633809021059
1988_04_01,1.8991372408899847
1988_05_01,1.3644725250658443
1988_06_01,1.2855396334728166
1988_07_01,1.4241600582818195
1988_08_01,1.6324674172545282
1988_09_01,2.195207943949186
1988_10_01,3.2115887028394208
1988_11_01,3.0548275125418725
1988_12_01,2.9047161194554536
1989_01_01,3.632071773468547
1989_02_01,3.2203004046587997
1989_03_01,2.4810939157223766
1989_04_01,2.08416180575746
1989_05_01,1.362390472359919
1989_06_01,1.1262711861609023
1989_07_01,1.209891765657929
1989_08_01,1.726320537310656
1989_09_01,2.30493979797865
1989_10_01,2.384349676864928
1989_11_01,2.6368204071990946
1989_12_01,3.065464031344796
1990_01_01,3.692934047873748
1990_02_01,3.4025364096944744
1990_03_01,2.347909144641502
1990_04_01,1.784988373699603
1990_05_01,1.3954257294856753
1990_06_01,1.0247280797538874
1990_07_01,1.1478729501947018
1990_08_01,1.3491502011584504
1990_09_01,1.9029347375345507
1990_10_01,2.576808044761407
1990_11_01,3.3381761730458175
1990_12_01,3.527553241861948
1991_01_01,3.362112742513124
1991_02_01,3.203610142801148
1991_03_01,2.7968432464626733
1991_04_01,1.9336037386834677
1991_05_01,1.3330378286412916
1991_06_01,1.0148538793234072
1991_07_01,1.203062954343153
1991_08_01,1.6165466211012822
1991_09_01,2.057169029649227
1991_10_01,2.0590054626624257
1991_11_01,1.9771099142721553
1991_12_01,2.7174262961174374
1992_01_01,3.226770690736668
1992_02_01,3.0442698129181838
1992_03_01,2.5871946864593642
1992_04_01,1.7507934872918174
1992_05_01,1.2671577387027768
1992_06_01,1.0751685149607608
1992_07_01,1.1883493754604397
1992_08_01,1.5377853771755736
1992_09_01,1.7180057576001966
1992_10_01,1.9028583100880498
1992_11_01,2.7282302931635454
1992_12_01,3.3090635009250695
1993_01_01,3.471045212564671
1993_02_01,3.251494429558914
1993_03_01,2.5951497001056625
1993_04_01,1.90918998643697
1993_05_01,1.4262173850103197
1993_06_01,1.090691405741638
1993_07_01,1.065206267845329
1993_08_01,1.3129946464079427
1993_09_01,1.757184018983923
1993_10_01,2.162496524937422
1993_11_01,2.5211203531351694
1993_12_01,3.031449827010307
1994_01_01,3.4585468299278825
1994_02_01,2.9501675047205453
1994_03_01,2.5317994856080537
1994_04_01,2.1591808756451427
1994_05_01,1.5767947045080108
1994_06_01,1.1130201206968002
1994_07_01,1.1541138802429194
1994_08_01,1.6111335329276308
1994_09_01,1.9964524873271337
1994_10_01,1.9480316952468324
