system:index,total_precipitation
19790102,0.001164606716792984
19790103,0.005958601235366003
19790104,0.0016407814443008925
19790105,0.0
19790106,0.0
19790107,0.0
19790108,0.0
19790109,0.0
19790110,4.797507231786704E-7
19790111,2.767930311244588E-4
19790112,0.0030101974184176573
19790113,0.001538628460634821
19790114,5.828281939256243E-7
19790115,0.0012555860964606382
19790116,3.0501529083287044E-5
19790117,0.033733953931468136
19790118,0.02148110358752623
19790119,0.0010551141312737987
19790120,5.792384955405191E-4
19790121,0.007418580455439141
19790122,0.01784599775240691
19790123,0.013250933201595734
19790124,0.0038097997523079703
19790125,0.004299549932026317
19790126,0.015956259050537436
19790127,0.005789738090051678
19790128,0.0015675484387299755
19790129,2.9989194440344644E-4
19790130,4.89233257263088E-5
19790131,5.299664717527303E-4
19790201,8.690810703017475E-5
19790202,1.671089881591982E-5
19790203,1.1428795480027962E-5
19790204,0.013166997827032127
19790205,0.0042367846191204575
19790206,0.0029831197410296853
19790207,0.003804530717670144
19790208,0.003965547269556237
19790209,0.0025176136543458246
19790210,3.475098246038064E-5
19790211,1.4254216194343772E-4
19790212,3.803794001847754E-5
19790213,4.284083843231201E-8
19790214,5.406932972381875E-4
19790215,4.083418112396263E-5
19790216,0.004129982152426834
19790217,0.0012544517653164707
19790218,2.13350332913959E-4
19790219,0.0027317877683181724
19790220,0.0028378478528358867
19790221,1.230259037097308E-4
19790222,1.3129526155166961E-4
19790223,1.3515229567940965E-6
19790224,3.081337490117948E-5
19790225,1.1495539245682528E-7
19790226,4.167444882687261E-6
19790227,0.002326123173343073
19790228,0.00480967258967106
19790301,0.005821648416059687
19790302,0.02125273997010903
19790303,0.03972497985743378
19790304,0.011627941478552652
19790305,3.274667325594439E-4
19790306,1.4132319910600079E-4
19790307,9.247801102225038E-5
19790308,2.0659165835585497E-4
19790309,6.021713641050627E-7
19790310,4.78436638634462E-5
19790311,3.676940964284646E-4
19790312,0.001848508527473384
19790313,0.0023750689127510494
19790314,0.0019475848234502403
19790315,0.012707502240489303
19790316,0.011771595944757837
19790317,0.006868051931725973
19790318,0.008743254560998484
19790319,2.7001725376910194E-5
19790320,1.6554457489378448E-6
19790321,7.939987913274843E-5
19790322,0.002234199172573261
19790323,0.0027409403745919545
19790324,0.0010994475132441593
19790325,2.584481911575277E-4
19790326,1.605727199092863E-5
19790327,0.0
19790328,0.002530686409552533
19790329,0.004762810723043861
19790330,0.0010546965849732466
19790331,8.185552165328598E-5
19790401,0.0017332208334347639
19790402,3.478301191182349E-4
19790403,6.269091523987672E-6
19790404,8.480575401266158E-5
19790405,1.547769295173929E-5
19790406,8.072081812897891E-5
19790407,1.380366296648366E-4
19790408,0.001098099594750889
19790409,0.0036234444973244737
19790410,0.001275872898350495
19790411,4.470348358154297E-8
19790412,4.470348358154297E-8
19790413,7.705546901933501E-8
19790414,6.88273709693087E-5
19790415,1.1253060787208698E-4
19790416,0.0064483997201412345
19790417,0.0024033921328501517
19790418,0.0072499102095413825
19790419,8.567007014564275E-4
19790420,0.0
19790421,0.0
19790422,6.420249403670355E-5
19790423,0.003321937529932719
19790424,3.012500072463857E-4
19790425,0.0010236822047505843
19790426,0.004662716049512051
19790427,0.007347596305819633
19790428,0.00679609024395993
19790429,0.003975300168715647
19790430,0.003253841414902562
19790501,0.0033567728088936422
19790502,1.7516520249896105E-6
19790503,0.002233557060435701
19790504,0.01775823073021701
19790505,0.0222456225042118
19790506,0.009127244435256587
19790507,0.03436294082604501
19790508,0.0011612329896116193
19790509,5.7092024888442894E-6
19790510,3.7414597488863335E-4
19790511,4.1559867342320786E-4
19790512,3.9572879160901576E-8
19790513,7.992098035929004E-5
19790514,2.821967777297945E-4
19790515,7.225078153903296E-4
19790516,4.188144499441536E-4
19790517,9.26429992593554E-7
19790518,1.500050834012764E-4
19790519,9.263329028503503E-5
