system:index,Evap_tavg
A20000101_0300,1.437929505454812E-4
A20000101_0600,1.0080134692119746E-4
A20000101_0900,3.700589155910182E-5
A20000101_1200,2.2101887984349364E-6
A20000101_1500,-7.513184405020575E-7
A20000101_1800,-7.130848909981052E-7
A20000101_2100,1.0257011702503665E-5
A20000102_0000,8.238909906839414E-5
A20000102_0300,1.1202775348877435E-4
A20000102_0600,7.880196883880675E-5
A20000102_0900,2.2922232392756767E-5
A20000102_1200,-8.086537843195517E-8
A20000102_1500,-7.053411454559217E-7
A20000102_1800,-6.25444022918348E-7
A20000102_2100,9.726274872214765E-6
A20000103_0000,8.53022045815085E-5
A20000103_0300,1.5618383046102677E-4
A20000103_0600,1.377618260750181E-4
A20000103_0900,4.855779078570394E-5
A20000103_1200,1.7870687430760839E-7
A20000103_1500,1.0646384883228845E-6
A20000103_1800,-1.5995570764073932E-6
A20000103_2100,1.1954186769519095E-5
A20000104_0000,8.822823852729051E-5
A20000104_0300,1.9086225410405554E-4
A20000104_0600,1.0648585820765008E-4
A20000104_0900,3.123349828254241E-5
A20000104_1200,3.70977176346039E-7
A20000104_1500,-1.635563548903909E-6
A20000104_1800,-1.680557421614773E-6
A20000104_2100,2.9145564651474452E-5
A20000105_0000,1.296965455561616E-4
A20000105_0300,1.755662904802948E-4
A20000105_0600,1.5655570994276875E-4
A20000105_0900,5.889258478237511E-5
A20000105_1200,1.043009485590077E-6
A20000105_1500,-3.1548042796765873E-7
A20000105_1800,7.929469446311355E-8
A20000105_2100,9.711278216180321E-6
A20000106_0000,7.227371749203785E-5
A20000106_0300,1.5058482502548892E-4
A20000106_0600,1.2008394883467509E-4
A20000106_0900,4.612751686213815E-5
A20000106_1200,9.141396992132047E-7
A20000106_1500,-3.681685909011272E-7
A20000106_1800,-2.3576845796390553E-7
A20000106_2100,1.0535071986528471E-5
A20000107_0000,8.595722110212418E-5
A20000107_0300,1.3673297959225923E-4
A20000107_0600,1.1798210802104847E-4
A20000107_0900,4.425666187335012E-5
A20000107_1200,8.609940810849878E-6
A20000107_1500,7.0107302522810435E-6
A20000107_1800,6.825080794305539E-6
A20000107_2100,1.6857566049335925E-5
A20000108_0000,9.275102308070444E-5
A20000108_0300,1.3029437275257125E-4
A20000108_0600,1.0260527900459391E-4
A20000108_0900,3.890465131311374E-5
A20000108_1200,2.2205073154146257E-6
A20000108_1500,1.0329555916541954E-6
A20000108_1800,5.824930957187422E-7
A20000108_2100,8.371308747240642E-6
A20000109_0000,8.10619995043344E-5
A20000109_0300,1.2284168792844262E-4
A20000109_0600,1.0053670298624757E-4
A20000109_0900,4.0542304543902255E-5
A20000109_1200,3.1889592699710003E-6
A20000109_1500,1.9858349396169304E-6
A20000109_1800,2.1218425186953978E-7
A20000109_2100,1.3897005835098988E-5
A20000110_0000,8.711001171784135E-5
A20000110_0300,1.4967338491852648E-4
A20000110_0600,1.290782203891707E-4
A20000110_0900,4.7724569796360945E-5
A20000110_1200,2.672223340959488E-6
A20000110_1500,1.1098004173999606E-6
A20000110_1800,3.223967152305979E-7
A20000110_2100,6.59921967812475E-6
A20000111_0000,5.175701782062188E-5
A20000111_0300,9.458638668689205E-5
A20000111_0600,7.950519019561775E-5
A20000111_0900,3.371180858402431E-5
A20000111_1200,1.7068451560766518E-6
A20000111_1500,6.70460433491292E-7
A20000111_1800,3.319974371430945E-7
A20000111_2100,7.026328818634435E-6
A20000112_0000,7.769927558183574E-5
A20000112_0300,1.2918149964159944E-4
A20000112_0600,1.0074202638038386E-4
A20000112_0900,3.281913217296429E-5
A20000112_1200,2.0858171783441996E-5
A20000112_1500,9.55049276764589E-6
A20000112_1800,5.343943957705315E-6
A20000112_2100,5.092496899221558E-6
A20000113_0000,1.1305673043201721E-4
A20000113_0300,1.297581375655021E-4
A20000113_0600,8.177021812145742E-5
A20000113_0900,4.682722823763411E-5
A20000113_1200,7.302397588287444E-6
A20000113_1500,3.411389513976768E-6
A20000113_1800,6.498564367824719E-6
A20000113_2100,1.2181895632552781E-5
A20000114_0000,4.3315667306977614E-5
A20000114_0300,9.353820631142469E-5
A20000114_0600,5.929925321103678E-5
A20000114_0900,2.5746167138226555E-5
A20000114_1200,-8.664347350526782E-8
A20000114_1500,1.3348000507927624E-6
A20000114_1800,2.865669096262024E-6
A20000114_2100,1.1027117573770462E-5
A20000115_0000,9.054385331707628E-5
A20000115_0300,1.0929545514198759E-4
A20000115_0600,8.672451714622469E-5
A20000115_0900,3.621839865021325E-5
A20000115_1200,1.934798058634409E-7
A20000115_1500,-8.814348765833817E-9
A20000115_1800,-1.9286748651238962E-7
A20000115_2100,7.52461431941098E-6
A20000116_0000,1.274916764259718E-4
A20000116_0300,2.6538896412372695E-4
A20000116_0600,1.3237866101759366E-4
A20000116_0900,3.1297587216707756E-5
A20000116_1200,4.776582666765819E-6
A20000116_1500,1.8857127715096805E-6
A20000116_1800,3.5982791584452724E-6
A20000116_2100,1.2972893429851242E-5
A20000117_0000,8.879454949468812E-5
A20000117_0300,1.1290467962061628E-4
A20000117_0600,9.864550652763153E-5
A20000117_0900,3.479358900604943E-5
A20000117_1200,7.05912796718901E-6
A20000117_1500,3.3295195374110173E-6
A20000117_1800,7.715018051499352E-7
A20000117_2100,1.2356378189000337E-5
A20000118_0000,1.0014021493900495E-4
A20000118_0300,1.5864328015405485E-4
A20000118_0600,1.511244067123263E-4
A20000118_0900,6.134654139659992E-5
A20000118_1200,-2.7643818070292826E-7
A20000118_1500,-4.283569870507396E-7
A20000118_1800,-9.553934122667589E-7
