system:index,uncertainty
20020403_20020429,5.83646207054443
20020501_20020517,4.522927988573754
20020731_20020830,3.8143016477973073
20020831_20020929,4.859160906504504
20020930_20021030,3.2619852018432893
20021031_20021129,3.1436063361822915
20021130_20021230,3.2665642625378433
20021231_20030130,3.7606133060577296
20030131_20030227,2.7609947409599838
20030228_20030330,2.470722954387239
20030331_20030429,2.5227458808198224
20030430_20030520,2.85752769253479
20030630_20030730,2.167678997399972
20030731_20030830,2.3410356716139473
20030831_20030929,2.360447900128284
20030930_20031029,2.430270877514735
20031031_20031129,2.468282721913849
20031130_20031230,2.4018246290063265
20031231_20040112,2.6993353885209075
20040203_20040228,2.4500708885175766
20040229_20040330,2.2655077570110507
20040331_20040429,2.244579051692791
20040430_20040530,2.293392709819498
20040531_20040629,2.274288105613971
20040630_20040730,2.0228359241259586
20040731_20040830,2.142539484634909
20040831_20040929,2.2831005349257087
20040930_20041030,2.1230209516714433
20041031_20041129,2.505619421999658
20041130_20041230,2.698593947099381
20041231_20050130,2.5430397495187727
20050131_20050227,2.444474378709607
20050228_20050330,2.283157871089842
20050331_20050429,2.1465066958040073
20050430_20050530,2.1308462828929273
20050531_20050629,2.0999142524317094
20050630_20050730,1.972733347311756
20050731_20050830,1.9650752331993213
20050831_20050929,1.9292659187423329
20050930_20051030,1.8752009859194765
20051031_20051129,1.8449833084460467
20051130_20051230,2.2411719983866263
20051231_20060130,1.9395080633283992
20060131_20060227,1.9751088612786323
20060228_20060330,1.9933148785771753
20060331_20060429,2.006891741486374
20060430_20060530,2.0213201562455767
20060531_20060629,2.198720671023575
20060630_20060730,2.1801804259741435
20060731_20060830,2.0886097103738384
20060831_20060929,2.2317216796510997
20060930_20061030,2.183435825362664
20061031_20061129,2.1652822823576843
20061130_20061230,2.2398246808775832
20061231_20070130,2.2991333964571616
20070131_20070227,2.2544769704254715
20070228_20070330,2.2276928019290376
20070331_20070429,2.245422553197137
20070430_20070530,2.234292700259168
20070531_20070629,2.283455738101033
20070630_20070730,2.2356529753046606
20070731_20070830,2.3690114489245233
20070831_20070929,2.3301593211012417
20070930_20071030,2.3636094553618903
20071031_20071129,2.4574387646001035
20071130_20071230,2.3702756034081416
20071231_20080130,2.3613832713216807
20080131_20080228,2.5155440214221922
20080229_20080330,2.418875084899791
20080331_20080429,2.5659143078644453
20080430_20080530,2.4782240868826664
20080531_20080629,2.4367788850049883
20080630_20080730,2.4832994863092965
20080731_20080830,2.439548572538485
20080831_20080929,2.4399405935686
20080930_20081030,2.3786486833179428
20081031_20081129,2.4736154393330323
20081130_20081230,2.4128338312148983
20081231_20090130,2.345318977321665
20090131_20090227,2.350092029815008
20090228_20090330,2.2928290939015974
20090331_20090429,2.0934952454919773
20090430_20090530,2.0477700273570907
20090531_20090629,2.0124495531985573
20090630_20090730,2.060958473370193
20090731_20090830,1.9013305410867831
20090831_20090929,1.8066680394651995
20090930_20091030,1.8194287416437809
20091031_20091129,1.780969732074853
20091130_20091230,1.7780562939008357
20091231_20100130,1.757423448535555
20100131_20100227,1.758244261973601
20100228_20100330,1.8938052531874106
20100331_20100429,1.715622324005507
20100430_20100530,1.7703777430307817
20100531_20100629,2.245934421608493
20100630_20100730,2.084133296233528
