system:index,ET
2000_01_01,312.1041956904574
2000_01_09,314.8707788484934
2000_01_17,318.3012728380654
2000_01_25,273.2876509689306
2000_02_02,336.9936616368204
2000_02_10,253.41231072957007
2000_02_18,283.0617897809508
2000_02_26,297.3043610300179
2000_03_05,207.10520794618083
2000_03_13,289.1820301938583
2000_03_21,205.73151555322139
2000_03_29,231.20748780959994
2000_04_06,178.44072326837045
2000_04_14,184.1863557250525
2000_04_22,140.53011770830943
2000_04_30,158.49210293419247
2000_05_08,132.92278218383677
2000_05_16,112.77473318523826
2000_05_24,89.38870828286076
2000_06_01,85.32407339605474
2000_06_09,77.5833459319659
2000_06_17,93.52489930871953
2000_06_25,80.45103751133713
2000_07_03,89.16958013301141
2000_07_11,78.95100939420749
2000_07_19,96.09824666053022
2000_07_27,100.06730807217401
2000_08_04,108.54395123348704
2000_08_12,99.7978810704654
2000_08_20,120.0859835589432
2000_08_28,132.5729075459034
2000_09_05,154.2459488055167
2000_09_13,187.32758282005952
2000_09_21,188.83001657892703
2000_09_29,214.68588356381625
2000_10_07,173.1669497056019
2000_10_15,197.55369705488081
2000_10_23,190.693583448396
2000_10_31,239.92267943192735
2000_11_08,207.63759779784485
2000_11_16,251.2752546472754
2000_11_24,357.2867699411262
2000_12_02,345.0437590716941
2000_12_10,373.68873599863167
2000_12_18,397.5324646695485
2000_12_26,203.666804413014
2001_01_01,358.7043845617884
2001_01_09,344.5701076100689
2001_01_17,331.97569216172417
2001_01_25,258.84029760476625
2001_02_02,374.17769330546236
2001_02_10,326.97359411166696
2001_02_18,316.2302649842576
2001_02_26,291.6769898157112
2001_03_06,258.68841174223627
2001_03_14,261.449204031335
2001_03_22,247.06152089945545
2001_03_30,218.08381741938817
2001_04_07,175.2402080576772
2001_04_15,185.2220078546431
2001_04_23,158.31037896973766
2001_05_01,107.66130826003199
2001_05_09,121.62281579011773
2001_05_17,94.11705806262712
2001_05_25,94.9148380071273
2001_06_02,104.96450983991909
2001_06_10,92.65031876651246
2001_06_18,97.25719875296015
2001_06_26,93.94436906423614
2001_07_04,88.65047109753743
2001_07_12,92.59185364264873
2001_07_20,82.77167798580766
2001_07_28,99.65125491043358
2001_08_05,110.48414467572475
2001_08_13,124.78363072233132
2001_08_21,119.30787641093694
2001_08_29,129.09873640687505
2001_09_06,163.87750649121995
2001_09_14,188.42718122190468
2001_09_22,190.64302322954492
2001_09_30,228.86635195696215
2001_10_08,230.59036108864012
2001_10_16,236.86930458026006
2001_10_24,259.57950568919443
2001_11_01,215.50376526131927
2001_11_09,242.76275262698977
2001_11_17,223.42189171041554
2001_11_25,295.2631112845724
2001_12_03,251.25528525009867
2001_12_11,290.28255390975687
2001_12_19,338.7245972013088
2001_12_27,203.4750434853621
2002_01_01,296.5773192961268
2002_01_09,279.2458263664902
2002_01_17,255.5422913633933
2002_01_25,269.8469294046297
2002_02_02,287.458042590082
2002_02_10,257.1770832343074
2002_02_18,269.73568215684026
2002_02_26,257.6563761341771
2002_03_06,264.87652068029473
2002_03_14,264.2910407907662
2002_03_22,199.61775107894852
2002_03_30,177.92004636785015
2002_04_07,199.44092010048462
2002_04_15,188.28312783903536
2002_04_23,159.48541525650802
2002_05_01,147.60699979369093
2002_05_09,128.05508151772798
2002_05_17,100.52951557645287
2002_05_25,89.43944444067692
2002_06_02,97.8601740887079
2002_06_10,99.13260106631083
2002_06_18,84.78093849436442
2002_06_26,83.22657834201614
2002_07_04,88.1227415898988
2002_07_12,86.35471054495507
2002_07_20,90.11162088799107
2002_07_28,100.12875598476566
2002_08_05,113.06292465636194
2002_08_13,103.63803125621921
2002_08_21,107.50514704599594
2002_08_29,156.6012023916784
2002_09_06,150.8575350921287
2002_09_14,165.94195323714928
2002_09_22,192.98601537424335
2002_09_30,214.10917174612192
2002_10_08,188.75062984982384
2002_10_16,231.23675812470495
2002_10_24,191.2571715708714
2002_11_01,224.8948891271309
2002_11_09,154.86608961342543
2002_11_17,237.00205532628033
2002_11_25,225.29358190350536
2002_12_03,210.48972199412347
2002_12_11,266.1734539591165
2002_12_19,279.64559905352354
2002_12_27,173.01066532989643
2003_01_01,313.00935779652787
2003_01_09,293.49677046873904
2003_01_17,338.8856930625312
2003_01_25,293.83253740986896
2003_02_02,243.5039291881345
2003_02_10,260.57932168939
2003_02_18,264.54235256829116
2003_02_26,280.6759653532838
2003_03_06,257.7607612760855
2003_03_14,250.04466493656952
2003_03_22,228.46300999978004
2003_03_30,184.03685528557696
2003_04_07,195.36805778157657
2003_04_15,147.55533458301522
2003_04_23,160.15780816994913
2003_05_01,133.64889272617586
2003_05_09,113.30514532218214
2003_05_17,125.23513775477568
2003_05_25,101.86834553166742
2003_06_02,109.8315780931733
2003_06_10,101.89554297945493
2003_06_18,90.54383135110105
2003_06_26,94.02316968861793
2003_07_04,90.16819295662145
2003_07_12,96.68628971670809
2003_07_20,95.49515487433763
2003_07_28,93.14010225443337
2003_08_05,114.20749191239834
2003_08_13,107.54015974049383
2003_08_21,123.37136210711247
