system:index,ETa
1987_05_01,1.398698451173616
1987_06_01,1.0674702532934222
1987_07_01,1.2499938932672827
1987_08_01,2.332874169118206
1987_09_01,2.472460667684044
1987_10_01,2.691026397244309
1987_11_01,2.9927923452326457
1987_12_01,3.0216734480989755
1988_01_01,3.535624884983421
1988_02_01,3.431628879598928
1988_03_01,2.6556302120328175
1988_04_01,1.822283151949674
1988_05_01,1.3601765157950951
1988_06_01,1.2654467384700077
1988_07_01,1.3917453064345249
1988_08_01,1.639029459820186
1988_09_01,2.1608576214829194
1988_10_01,3.207878766213384
1988_11_01,3.0370669642624466
1988_12_01,2.8897114473689247
1989_01_01,3.6039458190411375
1989_02_01,3.1791567561612024
1989_03_01,2.4313695849847012
1989_04_01,2.0449448606797618
1989_05_01,1.3314583596689114
1989_06_01,1.0957564718136834
1989_07_01,1.1972117246006808
1989_08_01,1.7235919809857123
1989_09_01,2.3217751093373686
1989_10_01,2.393361392173488
1989_11_01,2.647508736275571
1989_12_01,3.048627515002274
1990_01_01,3.649484859397951
1990_02_01,3.3574072756277937
1990_03_01,2.3351218396749043
1990_04_01,1.778510312781007
1990_05_01,1.3487531040276073
1990_06_01,0.9966202043911334
1990_07_01,1.149660505264457
1990_08_01,1.3490248856290235
1990_09_01,1.9150563841854296
1990_10_01,2.5923369865602157
1990_11_01,3.366602802648389
1990_12_01,3.5075928724387744
1991_01_01,3.3737108855779976
1991_02_01,3.2471236971182584
1991_03_01,2.8584646067748833
1991_04_01,1.945182733168783
1991_05_01,1.3300812547775336
1991_06_01,0.9970062942991791
1991_07_01,1.203430169940714
1991_08_01,1.6280425863306758
1991_09_01,2.069358199930765
1991_10_01,2.0668835397037686
1991_11_01,1.958691546872587
1991_12_01,2.643374528629438
1992_01_01,3.2197615813081644
1992_02_01,3.013552474987578
1992_03_01,2.535424551631601
1992_04_01,1.6674854867055378
1992_05_01,1.225960953686558
1992_06_01,1.0594625241499784
1992_07_01,1.1943457914370161
1992_08_01,1.5180825799103947
1992_09_01,1.6972770957699714
1992_10_01,1.8761072199589284
1992_11_01,2.6832988239629874
1992_12_01,3.2658749151037956
1993_01_01,3.429217613618857
1993_02_01,3.229077035788319
1993_03_01,2.542075955759831
1993_04_01,1.8773583570296604
1993_05_01,1.409825354952448
1993_06_01,1.082381288800201
1993_07_01,1.0602797716196388
1993_08_01,1.2891957993898344
1993_09_01,1.7490537080486526
1993_10_01,2.1563642078961873
1993_11_01,2.5332113626437396
1993_12_01,3.027359582204933
1994_01_01,3.437260917122933
1994_02_01,2.9369655637553986
1994_03_01,2.533865843668309
1994_04_01,2.1589015515337517
1994_05_01,1.5665644631059588
1994_06_01,1.1083701695774637
1994_07_01,1.1474610625798072
1994_08_01,1.618147152548344
1994_09_01,2.0021250037839944
1994_10_01,1.894634627246521
1994_11_01,2.5227784822344534
1994_12_01,2.748886062033938
1995_01_01,2.8913969434842723
1995_02_01,2.8743038029018297
1995_03_01,2.4440062039334993
1995_04_01,1.9978214286522593
1995_05_01,1.2740820238407946
1995_06_01,0.9979546218330947
1995_07_01,1.2763873392097664
1995_08_01,1.829224946297389
1995_09_01,2.2312346917102985
1995_10_01,2.522976857747589
1995_11_01,2.7113594748124736
1995_12_01,3.330993097924609
1996_01_01,3.3815587930396265
1996_02_01,3.0960311240113705
1996_03_01,2.5639222320536477
1996_04_01,2.074651298238716
1996_05_01,1.439879593609924
1996_06_01,1.107127332825296
1996_07_01,1.1133321306505188
1996_08_01,1.714736350249476
1996_09_01,2.244702055126848
1996_10_01,2.6513396203877693
1996_11_01,3.0101210364873254
1996_12_01,3.382373659147821
1997_01_01,3.3747630647850206
1997_02_01,3.1605411510352392
1997_03_01,2.5685436989999637
1997_04_01,1.8078108545160378
1997_05_01,1.1293208936240584
1997_06_01,1.1461355328919653
1997_07_01,1.3861247250911446
1997_08_01,1.6678957723335954
1997_09_01,2.0798131093652663
1997_10_01,2.6064186596894388
1997_11_01,2.4715015843240766
1997_12_01,2.9709719356996422
1998_01_01,3.2458729462244618
1998_02_01,3.363788289587261
1998_03_01,2.784822355441643
1998_04_01,1.776393898943779
1998_05_01,1.3047079791665313
1998_06_01,1.1335437118647322
1998_07_01,1.1184802609010476
1998_08_01,1.5842669021195803
1998_09_01,2.300972584123821
1998_10_01,2.84074741390869
1998_11_01,2.8124532644777456
1998_12_01,3.4299637666290668
1999_01_01,3.692353064469407
1999_02_01,2.94540251739308
1999_03_01,2.4855710404919407
1999_04_01,1.880322907064521
1999_05_01,1.4798167462020322
1999_06_01,1.2471042759161834
1999_07_01,1.149532692161364
1999_08_01,1.5071091333205544
1999_09_01,2.2711231893037156
1999_10_01,2.6401104255161525
1999_11_01,2.8197515356408753
1999_12_01,3.2041418243941635
2000_01_01,3.3556752172527236
2000_02_01,3.4136882211303097
2000_03_01,2.689575256676835
2000_04_01,2.108867706562057
2000_05_01,1.8854125250047145
2000_06_01,1.0646659225871469
2000_07_01,1.0807472075733966
2000_08_01,1.3746099895330905
2000_09_01,2.178767328182469
2000_10_01,2.1187935538414955
2000_11_01,2.5287524971247075
2000_12_01,3.5351460780295456
2001_01_01,3.46482128526929
2001_02_01,3.12518800722907
2001_03_01,3.1087864889487267
2001_04_01,2.2768916539824997
2001_05_01,1.543204439128242
2001_06_01,1.2390180466364897
2001_07_01,1.1194653225509843
2001_08_01,1.6291545311977633
2001_09_01,1.9532821877336188
2001_10_01,2.5808656440140685
2001_11_01,1.9133916178297874
2001_12_01,3.3366901169826653
2002_01_01,3.271503809513667
2002_02_01,2.5994710241927477
2002_03_01,2.4557767911245847
2002_04_01,1.8526394648168947
2002_05_01,1.3711842821198723
2002_06_01,1.1640652427819391
2002_07_01,1.280902416130034
2002_08_01,1.3894192715804652
2002_09_01,2.173534931787836
2002_10_01,2.1862479868126083
2002_11_01,2.384235487559586
2002_12_01,2.5763371770772725
2003_01_01,3.173925945853909
2003_02_01,2.20483185522742
2003_03_01,2.5763753930285973
2003_04_01,1.8101245246770266
2003_05_01,1.6326395433529315
2003_06_01,1.211228794341223
2003_07_01,1.2553838512544109
2003_08_01,1.36942411279652
2003_09_01,2.2814414898994158
2003_10_01,2.3134590451976265
2003_11_01,2.7072037645060902
2003_12_01,3.239554911067966
2004_01_01,3.5626746192518297
