system:index,potential_evaporation_sum
19810101,-0.030797304231031827
19810102,-0.03094154795885145
19810103,-0.029790054594403318
19810104,-0.02476419769311808
19810105,-0.02260675303617373
19810106,-0.033651078292134706
19810107,-0.03248415447739701
19810108,-0.012942560717017616
19810109,-0.03193921409256948
19810110,-0.036486012511271926
19810111,-0.0392669330350352
19810112,-0.024667390397154324
19810113,-0.026950369024429596
19810114,-0.035516664494828466
19810115,-0.036496904241340306
19810116,-0.027875148524643338
19810117,-0.014837442805696922
19810118,-0.027191100459707906
19810119,-0.03381801582676158
19810120,-0.030026368773969705
19810121,-0.034237710979451226
19810122,-0.026441196252390272
19810123,-0.029277242533909422
19810124,-0.03551186920111581
19810125,-0.041245757022004684
19810126,-0.04390369158033033
19810127,-0.045085619807408196
19810128,-0.04878104871613372
19810129,-0.02399675350018952
19810130,-0.00495333829573839
19810131,-0.012676684546401694
19810201,-0.0180389137151315
19810202,-0.026819848381816537
19810203,-0.016250431431218067
19810204,-0.016638578725934234
19810205,-0.014821025546333851
19810206,-0.00800230742617411
19810207,-0.004696888498529165
19810208,-0.022182323421129836
19810209,-0.030985124236844363
19810210,-0.016763056267632703
19810211,-0.004471734140292164
19810212,-0.020633244225959056
19810213,-0.019647446200570056
19810214,-0.011620401589001784
19810215,-0.0087797856852431
19810216,-0.01752038623464146
19810217,-0.02093295978973761
19810218,-0.022899425260559648
19810219,-0.004833898627191505
19810220,-0.0060753495932404705
19810221,-0.011693310978531327
19810222,-0.007125451247356987
19810223,-0.022119856343846056
19810224,-0.028519407680563994
19810225,-0.025378793524098144
19810226,-0.02303702042634564
19810227,-0.02288201419978036
19810228,-0.016422223335898694
19810301,-0.018918035503665134
19810302,-0.02342644881701571
19810303,-0.02452369046617399
19810304,-0.020457273504753213
19810305,-0.01840298487773215
19810306,-0.011873073149767537
19810307,-0.019412162035950947
19810308,-0.028251684710162338
19810309,-0.039102089433535735
19810310,-0.029031769945179656
19810311,-0.024001687885769535
19810312,-0.02296049387416918
19810313,-0.03583965881673539
19810314,-0.034962529275985046
19810315,-0.028749961088073588
19810316,-0.02480642705975929
19810317,-0.027501386227561566
19810318,-0.026415590375009894
19810319,-0.030310972503285506
19810320,-0.04180591724155414
19810321,-0.020387416027405764
19810322,-0.0201245465499239
19810323,-0.01417725594695081
19810324,-0.019174169156459635
19810325,-0.013829874718102307
19810326,-0.017636404182553016
19810327,-0.021893220425386477
19810328,-0.022277252197730225
19810329,-0.0219399522901001
19810330,-0.019938027674764554
19810331,-0.01159408912530999
19810401,-0.0100121151840444
19810402,-0.002073296338791879
19810403,-0.0013445011302847523
19810404,-0.0029777561940827913
19810405,-0.007372593580327627
19810406,-0.008406622530243818
19810407,-0.011180576519852818
19810408,-0.014015977640666942
19810409,-0.015686794072726815
19810410,-0.013742110881039262
19810411,-0.013753829613564032
19810412,-0.015367092250623621
19810413,-0.023270834600218043
19810414,-0.027119746386090614
19810415,-0.01957115176479692
19810416,-0.023893093747321695
19810417,-0.021427015406809045
19810418,-0.021328903974481398
19810419,-0.022818755294574035
19810420,-0.021627494497967022
19810421,-0.01860208775729188
19810422,-0.02008947524063425
19810423,-0.023567404643147022
19810424,-0.020737453712525604
19810425,-0.024032424630488106
19810426,-0.008347142501065621
19810427,-0.027448725756955613
19810428,-0.02479185819783221
19810429,-0.016277512034969407
19810430,-0.007156860665037671
19810501,-0.005709538666303353
19810502,-0.007579403494826387
19810503,-0.013899102425617224
19810504,-0.011090169129492738
19810505,-0.011052895756801347
19810506,-0.0174472048327885
19810507,-0.010004121354020717
19810508,-0.01158532063573456
19810509,-0.022750286638047297
19810510,-0.019699808572640757
19810511,-0.01769807735429447
19810512,-0.016972589062286547
19810513,-0.006931392769058776
19810514,-0.0097182863043246
19810515,-0.013481872024280148
19810516,-0.01270767215555985
19810517,-0.010446663469877975
19810518,-0.008143636791481876
19810519,-0.010411020683633757
19810520,-0.010243698611372165
19810521,-0.007783287309104546
19810522,-8.041834963126367E-4
19810523,-0.005430567915756737
19810524,-0.01328335381465429
19810525,-0.014256187108913673
19810526,-0.014080018243479132
19810527,-0.007114094782406162
19810528,-0.00878083939142553
19810529,-0.0075782738365598205
19810530,-0.009664750755252865
19810531,-0.002595276459545713
19810601,-0.008527902011479266
19810602,-0.01797065764650616
19810603,-0.02330254007291037
19810604,-0.011551238162555913
19810605,-0.009414911213564399
19810606,-0.013190328654090092
19810607,-0.009004710608686307
19810608,-0.009352458777411487
19810609,-0.010267672661353748
19810610,-0.005365185618685332
19810611,-0.013959575172627059
19810612,-0.01740809769967047
19810613,-0.0101316981540273
19810614,-0.011793093819818449
19810615,-0.01049881436161159
19810616,-0.00858447317849879
19810617,-0.008264094224325638
19810618,-0.010045320132074265
19810619,-0.010466472268749007
19810620,-0.0023897597462740677
19810621,-0.002903657314209053
19810622,-0.00868593966328441
19810623,-0.012057990439728869
19810624,-0.015425271384449858
19810625,-0.01711107941055405
19810626,-0.015350613952327499
19810627,-0.015383758474781128
19810628,-0.012695238084867423
19810629,-0.010881253253403457
19810630,-0.010118839837121757
19810701,-0.005747764062455828
19810702,-0.02169327250123773
19810703,-0.01959872912050702
19810704,-0.018727039374731455
19810705,-0.017591173455272745
19810706,-0.0178476737676807
19810707,-0.014335784740953966
19810708,-0.01367378190126076
19810709,-0.013677548325433487
19810710,-0.010845817777644094
19810711,-0.012169492834846904
19810712,-0.012149293530382996
19810713,-0.010247802497949734
19810714,-0.007236441702722211
19810715,-0.010952791831272764
19810716,-0.011477161603325238
19810717,-0.013136892720611061
19810718,-0.011919408735390845
19810719,-0.009060126417526085
19810720,-0.011962278786768466
19810721,-0.0047944189762841325
19810722,-0.014709301619994926
19810723,-0.01432249114677958
19810724,-0.00796843480121139
19810725,-0.01216371273062233
19810726,-0.01672779269926746
19810727,-0.01384828375427154
19810728,-0.010372523099056641
19810729,-0.022785945391052463
19810730,-0.01523996248507817
19810731,-0.014465485434152084
19810801,-0.014617666679319493
19810802,-0.014291806285603724
19810803,-0.007385532630652917
19810804,-0.01615181468429055
19810805,-0.009264128107595358
19810806,-0.017301019296698274
19810807,-0.014320983196102196
19810808,-0.020997864406987712
19810809,-0.020611660459741804
19810810,-0.02115302164297712
19810811,-0.01613970945828339
19810812,-0.0177891984360884
19810813,-0.02239297957974281
19810814,-0.03379497039601345
19810815,-0.023013737226344838
19810816,-0.026456361184744846
19810817,-0.03570688894594137
19810818,-0.03271752898570788
19810819,-0.024219224386728373
19810820,-0.02868001471670062
19810821,-0.04126076799954844
19810822,-0.030758920123462027
19810823,-0.018912983071813036
19810824,-0.023313224507855924
19810825,-0.01411956969497789
19810826,-0.011213225045334849
19810827,-0.009050328377985552
19810828,-0.025074381214726472
19810829,-0.0254456254347563
19810830,-0.018293574558435617
19810831,-0.02429935636983794
19810901,-0.02019707837317917
19810902,-0.02213127990523744
19810903,-0.023115460684783855
19810904,-0.02426694708461584
19810905,-0.011691589046879447
19810906,-0.02171782357910933
19810907,-0.025347528131741924
19810908,-0.03030064027453895
19810909,-0.029805693558286363
19810910,-0.02080815174313145
19810911,-0.03405961562580339
19810912,-0.016497836621496453
19810913,-0.02402723815113208
19810914,-0.019763716067655136
19810915,-0.030288677402018647
19810916,-0.03044198733277435
19810917,-0.032808030253758155
19810918,-0.03491324324658206
19810919,-0.028938910218978122
19810920,-0.008408635258599684
19810921,-0.02475899160919939
19810922,-0.03536565886247928
19810923,-0.04898677967378234
19810924,-0.038358835888352566
19810925,-0.03703840562700475
19810926,-0.02773514071323478
19810927,-0.05015204369811996
19810928,-0.031271368663440505
19810929,-0.032585637623606716
19810930,-0.038636493270709525
19811001,-0.04402324038779942
19811002,-0.053676727322333695
19811003,-0.031911411606054485
19811004,-0.030474459695207536
19811005,-0.032310966891441494
19811006,-0.03444111035499316
19811007,-0.034906226968702284
19811008,-0.030636244053468337
19811009,-0.0381587790066284
19811010,-0.028018856280513045
19811011,-0.01756037815202562
19811012,-0.006285242670020595
19811013,-0.019681470017802453
19811014,-0.03418499950056313
19811015,-0.011411695325827224
19811016,-0.014035643009585532
19811017,-0.013870618402253504
19811018,-0.0022978474596561664
19811019,-0.018222608538482662
19811020,-0.01321436564302456
19811021,-0.010243810391438077
19811022,-0.010354164594572212
19811023,-0.016000125216034927
