YYYY-MM-DD,Q,model output
2014-01-01,3.837,
2014-01-02,3.232,17.70714461494197
2014-01-03,2.674,17.565890168729467
2014-01-04,2.17,17.425997364524548
2014-01-05,1.788,17.287452679197102
2014-01-06,1.517,17.150242866350656
2014-01-07,1.307,17.01435467843567
2014-01-08,1.159,16.983374285781768
2014-01-09,1.029,16.850320560231438
2014-01-10,0.925,16.718581546273104
2014-01-11,0.846,16.608975240392592
2014-01-12,0.794,16.479750858128575
2014-01-13,0.731,16.358240767683917
2014-01-14,0.821,16.23150015554346
2014-01-15,1.189,16.105981368422995
2014-01-16,1.089,15.981672257980756
2014-01-17,0.999,15.858560799450538
2014-01-18,0.968,15.736635090357005
2014-01-19,0.889,15.61588334924473
2014-01-20,0.783,15.49629391442065
2014-01-21,0.668,15.38755458699229
2014-01-22,0.571,15.425494957542558
2014-01-23,0.522,15.576880837187828
2014-01-24,0.534,15.461621954524148
2014-01-25,0.472,15.419621448636356
2014-01-26,0.408,15.306384489010322
2014-01-27,0.36,15.231454205492367
2014-01-28,0.335,15.12029100771868
2014-01-29,0.324,15.010210208399622
2014-01-30,0.47,14.90120089851186
2014-01-31,0.772,14.793252281489634
2014-02-01,0.912,14.686353672041106
2014-02-02,0.914,14.580494494977348
2014-02-03,0.85,14.47566428405394
2014-02-04,0.774,14.371852680824965
2014-02-05,0.686,14.55748645349832
2014-02-06,0.633,14.454722510220233
2014-02-07,0.576,14.35296411825266
2014-02-08,0.525,14.252201073612532
2014-02-09,0.474,14.152423278201237
2014-02-10,0.441,14.053620738683378
2014-02-11,0.402,13.955783565377667
2014-02-12,0.367,13.858901971159737
2014-02-13,0.316,13.76296627037677
2014-02-14,0.31,14.115707247468775
2014-02-15,0.376,14.328402181413022
2014-02-16,0.435,14.497203610351248
2014-02-17,0.569,15.458669862904888
2014-02-18,0.984,15.369152554385657
2014-02-19,1.607,15.72119514739666
2014-02-20,3.9,16.08704927692821
2014-02-21,5.417,16.278170238384604
2014-02-22,5.326,16.169189351794767
2014-02-23,5.099,16.16534264412885
2014-02-24,4.248,16.604065152569753
2014-02-25,3.8,16.49300397969913
2014-02-26,3.61,16.38311599171318
2014-02-27,3.214,16.274388349406877
2014-02-28,2.753,16.30274203617437
2014-03-01,3.731,16.49561135253225
2014-03-02,6.311,17.787935467947392
2014-03-03,31.572,18.55267352680098
2014-03-04,36.114,18.42559463688261
2014-03-05,29.869,18.299899463352844
2014-03-06,23.569,18.175572481138556
2014-03-07,17.274,19.326821236666216
2014-03-08,13.612,19.193250659238178
2014-03-09,11.102,19.06114883050222
2014-03-10,9.659,18.930499143443164
2014-03-11,8.609,18.801285180137437
2014-03-12,7.255,18.673490709589515
2014-03-13,6.236,18.547099685593075
2014-03-14,5.415,18.422096244616824
2014-03-15,4.852,19.086557772179223
2014-03-16,4.418,18.95673788644603
2014-03-17,4.243,20.092974818119604
2014-03-18,4.582,19.953759784524124
2014-03-19,4.503,19.816093895095857
2014-03-20,4.411,19.679959465672695
2014-03-21,4.623,20.753808529078924
2014-03-22,4.297,21.653282411638987
2014-03-23,4.161,21.499501632547656
2014-03-24,4.016,22.062573539929154
2014-03-25,4.546,23.59118195367439
2014-03-26,6.055,25.74436528704741
2014-03-27,5.957,27.780401783318325
2014-03-28,6.361,32.476089399514
2014-03-29,9.527,34.55549649434696
2014-03-30,15.483,35.28321678471031
2014-03-31,17.271,36.19674446669553
2014-04-01,23.541,35.893480955163504
2014-04-02,15.937,35.59373475709228
2014-04-03,12.339,35.35670506047387
2014-04-04,10.485,35.06323344699492
2014-04-05,9.678,38.416697629153184
2014-04-06,17.357,40.538869779809524
2014-04-07,28.348,41.89618582876864
2014-04-08,28.464,41.53315658447356
2014-04-09,24.554,41.174353137165106
2014-04-10,20.152,40.82646829608869
2014-04-11,16.458,42.00260968839008
2014-04-12,14.021,41.63949711164205
2014-04-13,12.237,41.280612327258915
2014-04-14,11.136,41.1241563168149
2014-04-15,10.84,40.830781871054
2014-04-16,10.661,41.75161935559106
2014-04-17,10.593,41.392549560652014
2014-04-18,10.816,41.03766099865296
2014-04-19,12.46,40.686904609875
2014-04-20,10.884,40.3402319088169
2014-04-21,9.827,39.99759497748779
2014-04-22,8.914,39.658946458778395
2014-04-23,8.139,39.32423954990923
2014-04-24,7.412,38.993427995955514
2014-04-25,6.805,40.4532271514225
2014-04-26,6.338,40.836874598765185
2014-04-27,6.614,40.490249721917536
2014-04-28,6.142,44.13513244025805
2014-04-29,5.967,43.75287187733001
2014-04-30,5.709,44.5253052749056
2014-05-01,6.84,44.790531228706804
2014-05-02,6.683,44.402522063487815
2014-05-03,6.312,44.05076631657815
2014-05-04,5.972,45.077382915642794
2014-05-05,5.5,44.68625279216427
2014-05-06,5.174,44.29968359745238
2014-05-07,5.504,43.94578367975977
2014-05-08,12.165,43.56786552910597
2014-05-09,9.959,43.1943531645285
2014-05-10,8.223,42.82519484659269
2014-05-11,7.329,43.38198286756195
2014-05-12,6.769,43.098424070824095
2014-05-13,6.547,46.67650333735066
2014-05-14,6.392,46.26986396744791
2014-05-15,6.208,45.86796814325474
2014-05-16,6.064,45.47076015549149
2014-05-17,5.814,46.473338987248134
2014-05-18,5.516,46.153052303117256
2014-05-19,5.222,45.77146128385832
2014-05-20,5.005,45.3762740857208
2014-05-21,4.792,44.985695904688725
2014-05-22,4.628,44.599672604560276
2014-05-23,4.475,44.21815068325318
2014-05-24,4.336,44.173455616637526
2014-05-25,4.152,44.233242806941156
2014-05-26,4.03,43.856442741027806
2014-05-27,3.927,43.48403566008332
2014-05-28,3.897,43.11596995751365
2014-05-29,3.823,42.752194631288596
2014-05-30,3.731,42.58114180252812
2014-05-31,3.689,42.241148813016146
2014-06-01,3.653,41.92850897928101
2014-06-02,3.584,43.229826944440234
2014-06-03,3.593,42.86582177447044
2014-06-04,3.745,42.50605910027139
2014-06-05,4.14,42.15048907633986
2014-06-06,4.677,42.625815160578185
2014-06-07,4.765,44.19028627628298
2014-06-08,4.558,43.96773047778473
2014-06-09,4.334,43.74909884758424
2014-06-10,7.241,43.38094950120029
2014-06-11,6.605,43.016899217850266
2014-06-12,6.033,42.657091538550794
2014-06-13,6.496,42.30147661482831
2014-06-14,6.666,44.25178053840752
2014-06-15,6.087,43.87884439798291
2014-06-16,5.797,43.51025485667605
2014-06-17,5.536,43.145960847182735
2014-06-18,5.537,42.78591190049905
2014-06-19,5.424,42.43005813892792
2014-06-20,5.556,42.07835026916727
2014-06-21,5.419,41.93015549869903
2014-06-22,5.25,41.590520965826585
2014-06-23,4.983,41.24870119644542
2014-06-24,4.905,40.91086235988962
2014-06-25,5.153,40.576957673422555
2014-06-26,5.077,40.246940902522326
2014-06-27,5.084,39.92076635447286
2014-06-28,4.58,39.59838887202965
2014-06-29,4.316,41.00626214628203
2014-06-30,4.165,40.672157605784825
2014-07-01,3.98,40.34194291251102
2014-07-02,4.569,40.01557235191359
2014-07-03,4.757,39.69300074516643
2014-07-04,4.508,39.3741834429013
2014-07-05,4.593,39.05907631901783
2014-07-06,4.362,38.74763576456566
2014-07-07,4.12,38.43981868169812
2014-07-08,3.918,38.135582477696396
2014-07-09,3.74,37.834885059063424
2014-07-10,3.53,37.53768482568685
2014-07-11,3.51,37.243940665069935
2014-07-12,3.357,36.95361194662991
2014-07-13,3.251,36.66665851606288
2014-07-14,3.13,36.38304054836532
2014-07-15,3.057,36.10271896782523
2014-07-16,3.018,37.60843903275277
2014-07-17,3.122,37.314776983219055
2014-07-18,3.114,37.024528880593834
2014-07-19,3.142,36.73765458992075
2014-07-20,3.086,36.84232545164194
2014-07-21,3.089,36.558068119327245
2014-07-22,3.269,36.2768069278331
2014-07-23,3.635,36.01717722947494
2014-07-24,4.442,35.74220903075353
2014-07-25,4.765,35.47043486286418
2014-07-26,4.269,37.39778907074605
2014-07-27,4.335,41.64765701812927
2014-07-28,4.566,41.31052792711912
2014-07-29,4.549,40.97732138793615
2014-07-30,5.284,40.64799131384987
2014-07-31,5.236,40.32249215811249
2014-08-01,5.493,40.00077890764671
2014-08-02,4.893,39.682807076807386
2014-08-03,4.374,39.3685327012158
2014-08-04,3.988,39.05791233166606
2014-08-05,3.686,38.750903028102485
2014-08-06,3.437,38.447462353667326
2014-08-07,3.264,38.147548368817986
2014-08-08,3.181,37.851119625512816
2014-08-09,3.197,37.55813516146478
2014-08-10,3.054,37.268554494462315
2014-08-11,2.918,36.982337616756254
2014-08-12,2.798,36.69944498951245
2014-08-13,2.734,36.43354217604661
2014-08-14,2.81,36.15702816835804
2014-08-15,2.788,35.8837243476707
2014-08-16,2.668,35.61359297562244
2014-08-17,2.869,40.50519046487592
2014-08-18,3.172,40.183744731539356
2014-08-19,3.599,43.53237870598431
2014-08-20,8.313,45.22674285446405
2014-08-21,13.705,44.852893829955725
2014-08-22,27.638,44.490180878052556
2014-08-23,20.502,45.00774840345741
2014-08-24,17.193,44.75529034245871
2014-08-25,15.834,44.39812709965652
2014-08-26,14.941,44.94277001237259
2014-08-27,15.932,54.64194312160112
2014-08-28,65.63,57.510557630455914
2014-08-29,146.606,57.00006980033509
2014-08-30,124.344,57.052868148290315
2014-08-31,75.606,56.71210749266434
2014-09-01,56.513,56.21119595187154
2014-09-02,46.592,55.71611965471717
2014-09-03,36.892,63.177624588074366
2014-09-04,30.755,62.60440378708921
2014-09-05,27.565,62.209950177725645
2014-09-06,26.093,62.79530631517428
2014-09-07,25.386,62.227011361880024
2014-09-08,25.812,61.66533837349304
2014-09-09,22.911,61.110209734989
2014-09-10,20.8,60.69279142173863
2014-09-11,19.209,60.14903897952998
2014-09-12,17.903,59.61162077979193
2014-09-13,17.505,59.08046257279454
2014-09-14,16.533,60.35504798799021
2014-09-15,15.509,59.81586202018924
2014-09-16,14.26,59.28295605271537
2014-09-17,13.037,59.34451786585443
2014-09-18,11.974,58.817303840527316
2014-09-19,10.932,58.296229246373
2014-09-20,10.064,57.781222117917174
2014-09-21,9.416,57.64487273583093
2014-09-22,8.863,57.13757641725092
2014-09-23,8.482,56.63618589633361
2014-09-24,8.187,56.14063194116296
2014-09-25,7.819,55.65084612959368
2014-09-26,7.777,59.63783805676567
2014-09-27,7.812,59.108867296571695
2014-09-28,8.793,59.44888596582446
2014-09-29,11.613,58.92239927691978
2014-09-30,11.112,58.4020411689851
2014-10-01,9.197,57.887739817938034
2014-10-02,8.027,57.37942423961535
2014-10-03,7.001,56.87702427996861
2014-10-04,6.218,56.38047060537406
2014-10-05,5.601,55.889694693055596
2014-10-06,5.355,55.404628821619305
2014-10-07,5.049,54.92520606169834
2014-10-08,4.86,54.45136026670688
2014-10-09,4.644,53.98302606370188
2014-10-10,4.49,53.52013884435136
2014-10-11,4.246,53.06263475600801
2014-10-12,4.118,52.61045069288678
2014-10-13,3.984,52.16352428734542
2014-10-14,4.005,56.383433153908506
2014-10-15,4.002,57.11466330018014
2014-10-16,3.989,56.617235658559665
2014-10-17,4.107,56.12559350181948
2014-10-18,4.614,55.63966903464524
2014-10-19,5.673,55.15939525447447
2014-10-20,6.061,54.68470594224328
2014-10-21,5.157,54.21553565324095
2014-10-22,4.558,53.751819708071
2014-10-23,4.146,53.2934941837178
2014-10-24,3.82,52.84049590471728
2014-10-25,3.688,52.39276243443041
2014-10-26,3.626,51.95023206641859
2014-10-27,3.317,51.51284381591959
2014-10-28,3.079,51.08053741142272
2014-10-29,3.068,50.65325328634229
2014-10-30,3.015,50.2309325707882
2014-10-31,2.799,49.8135170834324
2014-11-01,2.401,59.19923975955383
2014-11-02,2.023,58.68059610464141
2014-11-03,1.668,58.16798244149546
2014-11-04,1.536,57.66132814257731
2014-11-05,1.387,57.1605634059326
2014-11-06,1.363,61.8148070863991
2014-11-07,1.466,66.17919470683741
2014-11-08,1.521,65.58224223304862
2014-11-09,1.621,64.99223280532443
2014-11-10,2.843,64.409085151092
2014-11-11,2.713,63.832718947348724
2014-11-12,3.063,63.26305480958515
2014-11-13,3.03,62.70001428083687
2014-11-14,2.509,62.14351982086407
2014-11-15,2.075,61.593494795457104
2014-11-16,1.793,61.049863465866736
2014-11-17,1.686,60.51255097835746
2014-11-18,1.501,59.981483353882616
2014-11-19,1.357,59.45658747787986
2014-11-20,1.162,58.93779109018538
2014-11-21,0.988,58.42502277506582
2014-11-22,0.878,57.918211951366295
2014-11-23,0.778,57.41728886277315
2014-11-24,0.722,56.92218456819027
2014-11-25,0.727,70.48298097668996
2014-11-26,0.664,71.24610803275941
2014-11-27,0.618,76.40319470641293
2014-11-28,0.756,81.0013988288223
2014-11-29,0.805,80.23895157838977
2014-11-30,0.717,79.48537390423697
2014-12-01,0.633,78.74056209781843
2014-12-02,0.935,78.00441366126515
2014-12-03,1.174,81.10648969576647
2014-12-04,1.251,87.97567209501014
2014-12-05,1.273,88.56322232681191
2014-12-06,1.597,118.89025589373014
2014-12-07,2.44,117.69679725262655
2014-12-08,2.762,116.97685588613972
2014-12-09,3.95,115.80575598223491
2014-12-10,7.893,114.64828787457294
2014-12-11,7.794,136.7420738557421
2014-12-12,7.59,140.7495014703222
2014-12-13,10.61,141.4767941618192
2014-12-14,32.709,140.0261325183677
2014-12-15,30.104,138.59235755901605
2014-12-16,19.734,137.17527220274414
2014-12-17,14.771,135.77468166590526
2014-12-18,11.263,134.39039343547194
2014-12-19,8.876,133.0222172425923
2014-12-20,7.412,131.66996503645476
2014-12-21,6.185,130.3334509584566
2014-12-22,5.518,129.0124913166732
2014-12-23,5.067,127.70690456062445
2014-12-24,4.682,126.41651125633472
2014-12-25,4.343,131.38380493748264
2014-12-26,4.124,143.3759936736174
2014-12-27,5.367,148.34296010914863
2014-12-28,13.266,153.10946735839798
2014-12-29,15.931,169.61854769772202
2014-12-30,26.476,167.84796758294027
2014-12-31,55.194,166.09799165778864
2015-01-01,35.257,164.3683796264854
2015-01-02,22.896,162.65889399286735
2015-01-03,16.746,164.53463754820763
2015-01-04,13.407,162.8236846149639
2015-01-05,13.704,161.13263946923894
2015-01-06,13.727,159.46126993630355
2015-01-07,12.894,161.6458027460659
2015-01-08,11.314,159.96895801675427
2015-01-09,9.207,158.31162221422665
2015-01-10,8.802,156.6735678188079
2015-01-11,8.077,160.19372604141645
2015-01-12,7.939,172.7053915295414
2015-01-13,11.175,170.90231034360173
2015-01-14,15.029,172.05384315666853
2015-01-15,18.806,170.2586871206987
2015-01-16,15.391,168.48441361660764
2015-01-17,13.65,166.73077916766698
2015-01-18,12.463,164.99754313326935
2015-01-19,10.623,166.4559963223387
2015-01-20,8.252,177.38233420611624
2015-01-21,7.173,175.82935702015033
2015-01-22,36.599,174.19642656208197
2015-01-23,24.972,175.9426459793544
2015-01-24,20.775,174.1045332546372
2015-01-25,16.32,172.28779861806075
2015-01-26,15.613,175.8635637391119
2015-01-27,15.359,207.6358190327239
2015-01-28,15.024,220.04581987550955
2015-01-29,82.217,218.47302221845672
2015-01-30,80.242,216.1458657199067
2015-01-31,58.544,213.8457736861399
2015-02-01,41.863,211.5724307915076
2015-02-02,31.017,214.44759751278218
2015-02-03,27.28,219.32328242590472
2015-02-04,32.105,216.98732052107013
2015-02-05,34.102,214.6785227565061
2015-02-06,26.728,212.39657266876182
2015-02-07,21.936,210.14115747845977
2015-02-08,18.665,207.9119680474346
2015-02-09,15.972,205.70869883637022
2015-02-10,13.996,203.53104786292914
2015-02-11,12.491,204.88021665350888
2015-02-12,11.346,202.7124961681988
2015-02-13,10.235,200.56997892952447
2015-02-14,9.603,207.22312652126567
2015-02-15,8.657,205.02890581589077
2015-02-16,8.359,202.92008299685756
2015-02-17,10.131,200.7758925947604
2015-02-18,10.914,198.65662926605918
2015-02-19,9.616,196.5620026127177
2015-02-20,8.066,194.66745355160478
2015-02-21,7.807,206.31451323094734
2015-02-22,8.641,211.4844425503304
2015-02-23,11.03,212.83620704917408
2015-02-24,27.144,211.06462422562444
2015-02-25,36.854,214.3236499320213
2015-02-26,31.169,216.36587523718984
2015-02-27,24.554,228.01123568858492
2015-02-28,31.298,226.43429090985674
2015-03-01,27.715,224.0205867313792
2015-03-02,27.459,229.41584449722617
2015-03-03,26.128,226.96802396194997
2015-03-04,33.877,224.5486543292386
2015-03-05,27.301,222.15740428503258
2015-03-06,21.756,219.79394637101828
2015-03-07,18.341,217.45795693977973
2015-03-08,15.45,215.14911611047205
2015-03-09,13.566,212.86710772500962
2015-03-10,12.152,210.61161930476402
2015-03-11,10.919,210.19598312999187
2015-03-12,9.889,207.9716571351066
2015-03-13,9.239,210.59016873028557
2015-03-14,10.977,213.14305528181637
2015-03-15,20.308,210.885119695573
2015-03-16,19.091,213.9814688309319
2015-03-17,24.769,211.71413635452933
2015-03-18,20.943,210.99586406095173
2015-03-19,16.857,208.76331905842014
2015-03-20,14.106,206.55671421315392
2015-03-21,12.271,208.5158801849248
2015-03-22,53.651,225.04073480763006
