member,NSE,logNSE,Imax,Ce,Sumax,Beta,Pmax,Tlag,Kf,Ks
0,-2.592163637175106,-2.059862731661343,7.142881211488013,0.7312626740395789,479.39663296403677,1.5958239699440513,0.024227024488964383,7.252578423115021,0.0841585656028044,0.006158233506415656
1,-2.017089395374514,-2.175893808476809,2.6558384424094177,0.5105401837730557,636.2414431505156,1.0733598930506159,0.20131667464147351,5.089760507101563,0.03799015765747354,0.0030587543593115375
2,-1.8884832132889855,-2.2158458139055637,6.569832984462654,0.45026333666664964,664.6038585097652,1.1218699040213416,0.019027788019245023,3.8047378553254156,0.021609155243819983,0.008893753732137452
3,-1.9343128531088167,-2.2498483256298263,0.3335730058019992,0.6251124317970705,531.5902948593296,1.676020732330269,0.03426493903327634,3.980258388560441,0.019073930293483823,0.007949675410456521
4,-2.417080702514362,-2.095533501533502,0.8612534394877436,0.5069356021495776,176.52611943856851,2.383479024943315,0.1431275560851585,4.870905257458424,0.07047751467996835,0.004053254240157943
5,-1.9208467086729435,-2.2198649462612408,4.760416513649922,0.7100139713225434,591.9674827396962,1.350054179554594,0.025206410959111924,3.1382835676751206,0.022768788485380363,0.002825346679176769
6,-2.4855355744281544,-2.026619119719761,4.238538897542573,0.47176253821581565,256.38118669978275,2.303288855715854,0.010553949981508631,2.803854877496926,0.09307327047071907,0.008226744913283466
7,-2.0585394342156618,-2.200130379228436,3.3504594284532345,0.7133026685349982,679.5221791718657,2.2093405097538565,0.19224557515986868,7.369430986694466,0.03204196025596224,0.002759317741937478
8,-2.290093659289059,-2.1081032125265446,2.683262794186634,0.6431985283337172,473.32703100333595,1.2612310382232619,0.2686571074899607,4.580534917618063,0.07732588770659793,0.002677486748277631
9,-2.2118968524274636,-2.1017060589802155,4.9801554575687215,0.4166995504614213,104.80339261895931,1.4685661957666418,0.14548654934865973,1.8371067279656184,0.06499386625888316,0.002753530816397005
10,-2.029126039015895,-2.1772039154298954,3.5051314088709926,0.6245100528766405,732.3236692291695,1.642595875321795,0.2514604950437299,4.994101930446343,0.041039536167101154,0.006102670759306559
11,-2.2174277984604416,-2.1138215224529726,5.887056850789522,0.6672550939307769,391.4664925151539,2.288910535319154,0.21298722661318922,2.749750759039926,0.066810744934428,0.002819040855779412
