system:index,total_evaporation_sum
19810101,-0.004167118612541036
19810102,-0.004042314110627747
19810103,-0.00382993454129995
19810104,-0.003421463178148033
19810105,-0.0033573096988524565
19810106,-0.003564387470435069
19810107,-0.003363451794743432
19810108,-0.0038700869448364972
19810109,-0.0033891310849312956
19810110,-0.0035808416798632117
19810111,-0.003145536084289163
19810112,-0.0033365682496223005
19810113,-0.0026813772178929684
19810114,-0.002996233307894881
19810115,-0.002744200077495188
19810116,-0.0023692063343267893
19810117,-0.0023820348261479212
19810118,-0.002761313511699864
19810119,-0.0025543722693370696
19810120,-0.0024779695866225296
19810121,-0.002730895770699168
19810122,-0.002792108427430625
19810123,-0.0026135683809996
19810124,-0.002593114300447625
19810125,-0.0024734364701203128
19810126,-0.002344884260222484
19810127,-0.0021673006140237056
19810128,-0.0022210548883119003
19810129,-0.001945514738492279
19810130,-0.002251161057862663
19810131,-0.004228880621590278
19810201,-0.003965231453494522
19810202,-0.003047414782611844
19810203,-0.0020012532655680807
19810204,-0.003210816968973328
19810205,-0.0032579080108248734
19810206,-0.003669039287827094
19810207,-0.003145715602628394
19810208,-0.0038950249016461054
19810209,-0.004317547949693717
19810210,-0.004043737090262285
19810211,-0.0025054671825746927
19810212,-0.003758034282611008
19810213,-0.003792024311076345
19810214,-0.0040934910517685195
19810215,-0.003966679712460063
19810216,-0.0034990455249925335
19810217,-0.0037957874866497987
19810218,-0.003904892512551948
19810219,-0.0029625909834789174
19810220,-0.0029038968550119523
19810221,-0.0028713627623078923
19810222,-0.0031206932135707526
19810223,-0.0033048719440759923
19810224,-0.0038116965576845212
19810225,-0.003572235363124601
19810226,-0.003720707759291106
19810227,-0.003355685577006354
19810228,-0.0025774722949311085
19810301,-0.0030775148169551315
19810302,-0.0035035684335249003
19810303,-0.0034603539465554
19810304,-0.0029265180068558444
19810305,-0.002964547928633448
19810306,-0.003302591513942571
19810307,-0.002712012509383806
19810308,-0.0034805329506694595
19810309,-0.003684260146324736
19810310,-0.003259764376185649
19810311,-0.0026349389351396696
19810312,-0.0026283057343316836
19810313,-0.003068849588455132
19810314,-0.0028737820613251603
19810315,-0.002554673934343668
19810316,-0.0024928290742105923
19810317,-0.002660004345914182
19810318,-0.0024566455699010707
19810319,-0.002666662392216558
19810320,-0.0026053639073070037
19810321,-0.002573356099814543
19810322,-0.002561532719510867
19810323,-0.00251894485259741
19810324,-0.0021841262340984023
19810325,-0.002152963262589951
19810326,-0.0017748553971864184
19810327,-0.002106184033297146
19810328,-0.002041316267898222
19810329,-0.001966476782515685
19810330,-0.0016779594618414016
19810331,-0.0018464283131087334
19810401,-0.0018256069067561173
19810402,-0.0016435613174732365
19810403,-0.0013246266248614633
19810404,-0.0020257809250209227
19810405,-0.0021380549552926526
19810406,-0.0027977285127799233
19810407,-0.002579248135196133
19810408,-0.002380532126706061
19810409,-0.0026665409460667534
19810410,-0.0024317864367496213
19810411,-0.0017845450986906425
19810412,-0.0024214603423206747
19810413,-0.003105501180595717
19810414,-0.0028177092224640514
19810415,-0.0025710505516045134
19810416,-0.0027339360220762898
19810417,-0.002483138789511562
19810418,-0.002374049484250171
19810419,-0.0026288800374767505
19810420,-0.0023320292188934192
19810421,-0.0021399911364265527
19810422,-0.0023017832241261126
19810423,-0.0022133391920026585
19810424,-0.002183347448532399
19810425,-0.002327089515712082
19810426,-0.0019372226471802163
19810427,-0.0023373151644371184
19810428,-0.001975622857427414
19810429,-0.001352527619498532
19810430,-0.0017088013817058573
19810501,-0.0015744550605106657
19810502,-0.0013171965547181385
19810503,-0.0013933928755058363
19810504,-0.0013838915618008662
19810505,-0.0013687544928754518
19810506,-0.0017863714745278054
19810507,-0.0020041055698205327
19810508,-0.001246116608137727
19810509,-0.0016271544573559272
19810510,-0.0015657461882724153
19810511,-0.0014024189034763039
19810512,-0.0012893454877761306
19810513,-8.901065345202554E-4
19810514,-9.369894582099098E-4
19810515,-0.0011756674943668383
19810516,-0.001342591369674003
19810517,-9.921831089833707E-4
19810518,-0.0013755873158510406
19810519,-0.0010546168788746729
19810520,-7.403923203732637E-4
19810521,-0.0012354042050390047
19810522,-8.040933522494375E-4
19810523,-0.0020487940962725403
19810524,-0.00151921878139113
19810525,-0.00155789245895129
19810526,-0.001473868510884677
19810527,-0.0010016599107090629
19810528,-0.0013761315177231537
19810529,-0.0016020675694913245
19810530,-0.0015453656453911849
19810531,-0.0016613400211290313
19810601,-0.001419222314329431
19810602,-0.0015688076346498168
19810603,-0.001632431301229527
19810604,-0.0013278183160335202
19810605,-0.0015901423759827784
19810606,-0.0017719185648606374
19810607,-0.0011723270655232877
19810608,-0.0011832679345312052
19810609,-0.0014345592621274564
19810610,-0.0018596473209202089
19810611,-0.00141776927824345
19810612,-0.0013635785531778113
19810613,-0.0013697173774264882
19810614,-0.0013184552612745609
19810615,-0.0011839519519249275
19810616,-9.340979069890999E-4
19810617,-0.001014229872207531
19810618,-0.0012747146717516473
19810619,-0.001023764370080961
19810620,-0.0012483077349039608
19810621,-9.439364707002331E-4
19810622,-0.0012831876645937675
19810623,-0.001044637624006685
19810624,-0.0012180069018870043
19810625,-0.0012542084415380248
19810626,-0.0011946020485364462
19810627,-0.001156493089812123
19810628,-0.0013345485920335195
19810629,-0.0014184349605020697
19810630,-0.0013617589311973515
19810701,-0.0020603586269295738
19810702,-0.0016043451148899529
19810703,-0.0012199199330160024
19810704,-0.00146689578265079
19810705,-0.001310463254366923
19810706,-0.0011033839588998429
19810707,-0.0012383538295732896
19810708,-0.0012014156995214253
19810709,-0.0010640568193821022
19810710,-0.0010468657746038035
19810711,-0.001231556569725117
19810712,-0.0010346286014745304
19810713,-8.848131502921595E-4
19810714,-7.656786060637491E-4
19810715,-0.0012635682374407574
19810716,-0.0012751008635670175
19810717,-0.0011312616498181198
19810718,-0.0011309327131948906
19810719,-9.915305667331782E-4
19810720,-0.0012649098547493538
19810721,-0.0010269444291113392
19810722,-0.00183088042606338
19810723,-0.001581926145238405
19810724,-0.001958226021599359
19810725,-0.001468867492862748
19810726,-0.0011121583114752133
19810727,-0.0013684992764874829
19810728,-0.002798684729745122
19810729,-0.001155963779968294
19810730,-0.0013496967893387008
19810731,-0.0013034849982406132
19810801,-0.0014631493347267237
19810802,-0.0012584061503058133
19810803,-8.756138137987816E-4
19810804,-0.0012702549387379328
19810805,-9.066177663684398E-4
19810806,-0.0013811055462650981
19810807,-0.0012245244669957707
19810808,-0.001833283620904536
19810809,-0.0017652522421753194
19810810,-0.0011712243086860977
19810811,-0.0012893488763665055
19810812,-0.0015660976047791784
19810813,-0.0016765139911296618
19810814,-0.0017317783507137465
19810815,-0.00135061700578038
19810816,-0.0017823481087839595
19810817,-0.0019704936943837734
19810818,-0.001427239953566727
19810819,-0.001489947618144314
19810820,-0.0024396063464859757
19810821,-0.002265687967840978
19810822,-0.0014949775725483202
19810823,-0.001165923583472317
19810824,-0.0016214407200163742
19810825,-0.0012801635063395952
19810826,-9.079874984719568E-4
19810827,-0.0013969542696109093
19810828,-0.0015237992562902518
19810829,-0.0011895940065578742
19810830,-0.001158793468889142
19810831,-0.0017227764819112443
19810901,-0.0014094482339695675
19810902,-0.0015557693633671704
19810903,-0.00166828425801112
19810904,-0.0015133288661558966
19810905,-0.0013470461691369323
19810906,-0.0016351316565390594
19810907,-0.0017972767936158985
19810908,-0.0019367058121411674
19810909,-0.00191142505317222
19810910,-0.0018013048884738673
19810911,-0.001971815094709591
19810912,-0.002032561825533548
19810913,-0.0018971387991016159
19810914,-0.001557376081213403
19810915,-0.0020272908561814055
19810916,-0.002011854545467832
19810917,-0.0019806906347216175
19810918,-0.002120430092824922
19810919,-0.002171066286113055
19810920,-0.002606615682875117
19810921,-0.002319661018489921
19810922,-0.002361192120070998
19810923,-0.0025536384522495234
19810924,-0.0018887411238640158
19810925,-0.001958253876317122
19810926,-0.0033173705257994305
19810927,-0.0022295182281372107
