system:index,total_precipitation_sum
19810101,2.7255258276463613E-6
19810102,1.1807965764822935E-5
19810103,1.0592400266431116E-5
19810104,0.0017226246422165634
19810105,0.0011255384051906691
19810106,1.3253414719768859E-6
19810107,8.804524944510204E-4
19810108,0.0056597336185707945
19810109,1.0250180932246731E-5
19810110,3.430689583920558E-6
19810111,9.578854893797987E-5
19810112,0.003697023942855621
19810113,4.24764789778846E-5
19810114,4.351138045421976E-7
19810115,1.4437271144248533E-4
19810116,8.065497180014276E-4
19810117,0.002248528376422759
19810118,8.034100307094687E-4
19810119,2.626074681173376E-4
19810120,2.130929234611095E-4
19810121,0.0034022339612946742
19810122,0.001120176506695928
19810123,7.400592420004315E-4
19810124,8.858825896075949E-5
19810125,4.131718006737007E-6
19810126,5.390436845037343E-7
19810127,9.458228994440965E-6
19810128,1.2904906873900256E-6
19810129,0.006414866576294365
19810130,0.005580080095259325
19810131,0.008418217481773628
19810201,0.00575364063703739
19810202,0.001926937032279055
19810203,9.043424983681741E-4
19810204,0.00952732219349373
19810205,0.015211573277793492
19810206,0.04288200897156313
19810207,0.018022814216896818
19810208,5.297011246960515E-4
19810209,3.625787597355195E-5
19810210,0.03234827308873166
19810211,0.006594539269272941
19810212,2.280943314646501E-4
19810213,0.003093486553682087
19810214,0.010567255382772194
19810215,0.005698874472617334
19810216,0.0013472501226221168
19810217,2.4811587321741947E-4
19810218,0.0023710036171472643
19810219,0.01855451217684065
19810220,0.004359474416549512
19810221,0.011268215339222764
19810222,0.009987314909801233
19810223,3.1106867090356714E-4
19810224,1.7176321542208541E-6
19810225,6.26444067222436E-5
19810226,0.0018790257443142238
19810227,2.923759722907488E-4
19810228,4.4561060178750463E-4
19810301,1.9872469574387075E-4
19810302,9.937422101496371E-5
19810303,6.194182850122375E-4
19810304,7.656343009573827E-4
19810305,0.0023243104831469803
19810306,0.006335093112811455
19810307,4.145198920603067E-4
19810308,0.0
19810309,0.0
19810310,2.6873316117200675E-5
19810311,5.320414651700979E-5
19810312,1.4128214769319237E-4
19810313,2.0636714501397983E-4
19810314,7.311256305286566E-5
19810315,1.8060106092867374E-6
19810316,3.5449298492336634E-5
19810317,1.5065282994875772E-5
19810318,8.719786860238773E-5
19810319,4.0336792146918774E-5
19810320,1.978139310099818E-5
19810321,0.0033431946496003647
19810322,0.001733591530518658
19810323,0.0033354297861070935
19810324,5.472869597240016E-4
19810325,0.0030951345502050094
19810326,1.4026773249426795E-4
19810327,4.8185106957535626E-4
19810328,5.33336051780733E-6
19810329,1.36159699497314E-5
19810330,2.8666865671961875E-4
19810331,0.0022310535111331386
19810401,0.0039017413746266463
19810402,0.024902685623836948
19810403,0.02686423650107433
19810404,0.008711011974265671
19810405,0.0036844770628889677
19810406,0.00454282284322503
19810407,0.001957106098681323
19810408,4.6909553398581216E-4
19810409,1.5385233965785515E-4
19810410,0.0024020401347890426
19810411,2.525641926449173E-4
19810412,2.495442753342155E-6
19810413,8.642672355563263E-7
19810414,8.982079005703E-6
19810415,1.7185938900798994E-6
19810416,4.410743663640915E-7
19810417,3.4344784580753185E-6
19810418,6.121178256164938E-8
19810419,2.5624633508414263E-6
19810420,3.1473665550191036E-6
19810421,9.704894327305011E-6
19810422,7.10147331795061E-8
19810423,6.0083993811507806E-5
19810424,1.9827186240788706E-5
19810425,0.0022561112292783475
19810426,0.0016113836867079259
19810427,8.523463748133508E-7
19810428,5.24478829768581E-5
19810429,6.554461920767309E-4
19810430,0.0038423237059923877
19810501,0.0030818962123591383
19810502,4.1062734152120845E-4
19810503,6.332048630636482E-5
19810504,0.0013337305173941039
19810505,3.4454878935363814E-4
19810506,6.930324519415149E-5
19810507,0.003773194609204825
19810508,2.3681851169269766E-6
19810509,7.065413402362234E-7
19810510,1.7134070162683201E-6
19810511,2.9921810664745863E-6
19810512,1.1410677343030241E-4
19810513,8.976053973235952E-4
19810514,3.7112293520770033E-4
19810515,3.079103645736926E-6
19810516,1.706908506093896E-6
19810517,6.674888566299641E-5
19810518,0.002670596478951683
19810519,4.2287043073360703E-4
19810520,6.419330340760236E-4
19810521,0.01977554011165372
19810522,0.06880579370922936
19810523,0.011005711442303811
19810524,8.789016106694012E-4
19810525,2.3216780163638095E-4
19810526,6.831391115559354E-5
19810527,3.1207056525576904E-5
19810528,3.280477447791687E-6
19810529,0.002870425709511651
19810530,9.930141979844766E-4
19810531,0.011505934710612526
19810601,8.119804035707267E-4
19810602,0.0014601227050494972
19810603,1.5943482188235676E-4
19810604,2.4350972474248035E-4
19810605,0.0017723198149232429
19810606,0.003715365939263815
19810607,2.097527337423938E-4
19810608,2.4908273230500847E-6
19810609,4.182688801065916E-5
19810610,0.004147775557766591
19810611,0.0012882944855932732
19810612,4.8143084212440985E-6
19810613,1.7467616095278702E-6
19810614,1.1070130423688306E-4
19810615,9.221104572009342E-6
19810616,4.5788581868287496E-5
19810617,3.302225359981717E-6
19810618,2.3948136873511408E-5
19810619,0.0017819741984662673
19810620,0.003519107736599011
19810621,3.819192432447091E-4
19810622,9.131821100514589E-5
19810623,2.294615750628517E-4
19810624,7.166771319300825E-6
19810625,6.044429302285734E-4
19810626,3.720409821091349E-5
19810627,6.686018587884821E-6
19810628,8.630818493554617E-7
19810629,1.7995222267686104E-6
19810630,0.0016741925367550806
19810701,0.004875242459790866
19810702,8.732814730900321E-6
19810703,8.94767720880511E-5
19810704,0.0022467374881171395
19810705,1.778658382971142E-4
19810706,3.3679515350697244E-5
