system:index,PET
2000_01_01,556.0759959627143
2000_01_09,540.2719230540876
2000_01_17,610.012824318708
2000_01_25,427.55851095410554
2000_02_02,630.917295018702
2000_02_10,436.4529478121474
2000_02_18,493.5130914920144
2000_02_26,535.7674404797245
2000_03_05,265.6102238318589
2000_03_13,415.9732826693582
2000_03_21,296.0773021433236
2000_03_29,334.28741910585984
2000_04_06,249.07534287240992
2000_04_14,268.2996497061093
2000_04_22,194.16309446060671
2000_04_30,223.55696728611292
2000_05_08,195.16178827999758
2000_05_16,168.73276732173596
2000_05_24,142.07112747135315
2000_06_01,136.61147064062223
2000_06_09,101.25921747907141
2000_06_17,148.41382176571872
2000_06_25,112.1004571632132
2000_07_03,127.46820637653616
2000_07_11,125.67677967107994
2000_07_19,174.7995606483405
2000_07_27,179.55263314136437
2000_08_04,190.76542183696492
2000_08_12,168.87211304399457
2000_08_20,233.22466306477466
2000_08_28,274.1160125868313
2000_09_05,338.2866472718637
2000_09_13,412.87941578103647
2000_09_21,404.1079973876387
2000_09_29,498.67161432048937
2000_10_07,370.1373270794989
2000_10_15,375.28237249896097
2000_10_23,415.8588137505195
2000_10_31,440.535830908983
2000_11_08,325.9942409309505
2000_11_16,378.7762868847592
2000_11_24,609.7658968117319
2000_12_02,584.8478299590333
2000_12_10,623.489817728433
2000_12_18,700.3703022026953
2000_12_26,365.1654099625958
2001_01_01,642.7384076470936
2001_01_09,637.3463159769636
2001_01_17,618.4346019117733
2001_01_25,484.46529715608864
2001_02_02,579.4979516713173
2001_02_10,530.0086682894968
2001_02_18,504.40283797423257
2001_02_26,464.58516891290145
2001_03_06,341.6190108650476
2001_03_14,388.6811731876743
2001_03_22,396.1667755150507
2001_03_30,344.085911060975
2001_04_07,261.05212848067447
2001_04_15,297.9510182271567
2001_04_23,241.3745769755981
2001_05_01,136.88731223653738
2001_05_09,177.42925844564508
2001_05_17,129.204773496408
2001_05_25,142.4432702012705
2001_06_02,143.1521106691207
2001_06_10,137.52003799798135
2001_06_18,159.84474262304815
2001_06_26,142.92097607314605
2001_07_04,138.4443982663421
2001_07_12,152.71715252627203
2001_07_20,115.79065487145995
2001_07_28,149.20744522947214
2001_08_05,233.37517069405695
2001_08_13,253.87656593243474
2001_08_21,226.94246868135133
2001_08_29,227.86926319539273
2001_09_06,290.7618001543669
2001_09_14,377.1662411684379
2001_09_22,369.3590215519801
2001_09_30,454.24894614973573
2001_10_08,429.6498842249004
2001_10_16,475.05871875556596
2001_10_24,538.2342219319597
2001_11_01,472.314908270498
2001_11_09,468.1791842308376
2001_11_17,405.41679035801224
2001_11_25,527.9254883334322
2001_12_03,508.957667873894
2001_12_11,498.3337291456392
2001_12_19,702.1978269904412
2001_12_27,440.0245799441901
2002_01_01,636.1081161313303
2002_01_09,624.3061212373093
2002_01_17,525.1638069227572
2002_01_25,564.1385145164163
2002_02_02,478.39862257317577
2002_02_10,513.4006412159354
2002_02_18,458.57798491955106
2002_02_26,445.4956361693284
2002_03_06,448.6393160363354
2002_03_14,494.0333076055334
2002_03_22,312.27103247639974
2002_03_30,272.2762571988363
2002_04_07,339.2373092679451
2002_04_15,299.3610401947396
2002_04_23,238.67933266045233
2002_05_01,232.87923766549895
2002_05_09,192.47764650002958
2002_05_17,162.22306002493613
2002_05_25,119.41673098616636
2002_06_02,135.4483761800154
2002_06_10,156.8072789883037
2002_06_18,130.09713233984445
2002_06_26,172.1046131924241
2002_07_04,190.83749925785187
2002_07_12,166.58653446535652
2002_07_20,190.96627679154537
2002_07_28,188.35664667814518
2002_08_05,267.5305468147004
2002_08_13,202.74529478121468
2002_08_21,189.22852223475624
2002_08_29,349.7153119990499
2002_09_06,318.7443448316807
2002_09_14,375.18144036098073
2002_09_22,434.35456866353985
2002_09_30,485.6777296206139
2002_10_08,434.6704268835718
2002_10_16,557.612004987235
2002_10_24,543.3581903461378
2002_11_01,612.1743157394764
2002_11_09,487.12984622691914
2002_11_17,574.812919313661
2002_11_25,621.7507569910349
2002_12_03,617.3982069702546
2002_12_11,570.0002968592294
2002_12_19,549.9969720358605
2002_12_27,355.08662352312524
2003_01_01,628.0168596022556
2003_01_09,546.7657465123181
2003_01_17,647.8548530721281
2003_01_25,615.0724250519443
2003_02_02,456.6207183140395
2003_02_10,514.5675868210146
2003_02_18,370.0785989907983
2003_02_26,493.25129118432744
2003_03_06,415.3607005046007
2003_03_14,415.55690115761325
2003_03_22,366.4883348174531
2003_03_30,283.4807361234788
2003_04_07,311.90198872068856
2003_04_15,205.01608785989902
2003_04_23,234.582784208964
2003_05_01,207.79097655090527
2003_05_09,162.96319382606106
2003_05_17,202.7348768180468
2003_05_25,142.03449094686846
2003_06_02,168.58539626001772
2003_06_10,148.34336598397144
2003_06_18,130.6466013653903
2003_06_26,127.90792520035612
2003_07_04,134.3142772336004
2003_07_12,149.61133867616496
2003_07_20,163.6017215791036
2003_07_28,191.67889581478178
2003_08_05,207.87402790145435
2003_08_13,169.22048085485312
2003_08_21,235.13060255268627
2003_08_29,295.03674680914213
2003_09_06,356.1053131493025
2003_09_14,419.1059661620659
2003_09_22,480.7319679430096
2003_09_30,250.35690115761346
2003_10_08,389.79412288512896
2003_10_16,462.67753042445815
2003_10_24,484.48857227663973
2003_11_01,456.9016325319085
2003_11_09,586.8632828732561
2003_11_17,431.9166518254674
2003_11_25,511.93208667260296
2003_12_03,452.60670822202417
2003_12_11,546.3741763134458
2003_12_19,684.3593944790734
2003_12_27,382.1328584149598
2004_01_01,674.0137132680316
2004_01_09,434.692549718017
2004_01_17,544.6106856634012
2004_01_25,641.0563965568417
2004_02_02,584.0097358266546
2004_02_10,641.137548233897
2004_02_18,469.2029682398337
2004_02_26,458.31243692490335
2004_03_05,463.7521519738794
2004_03_13,392.6872662511129
2004_03_21,362.03585633719194
2004_03_29,374.73024636390596
2004_04_06,335.97340457108925
2004_04_14,316.05580290887485
2004_04_22,269.4955773226476
2004_04_30,245.24392994953988
2004_05_08,225.21555357672892
2004_05_16,220.8318788958147
2004_05_24,178.07925200356186
2004_06_01,171.7832591273374
2004_06_09,169.68002374591862
2004_06_17,146.72686257049565
2004_06_25,186.75482338972978
2004_07_03,164.0613238349658
2004_07_11,153.36414366280786
2004_07_19,120.17577916295636
2004_07_27,191.03757791629553
2004_08_04,188.34229741763124
2004_08_12,166.70317601662214
2004_08_20,319.1084594835262
2004_08_28,268.94223805283457
2004_09_05,312.6923122588304
2004_09_13,360.6210745028197
2004_09_21,392.1015731671118
2004_09_29,391.17376075986925
2004_10_07,518.3697239536954
2004_10_15,281.7177203918076
2004_10_23,493.08839418224983
2004_10_31,506.76651825467496
2004_11_08,504.9906797269217
2004_11_16,478.2825764321756
2004_11_24,642.7967943009794
2004_12_02,381.9402790145442
2004_12_10,585.1956070050458
2004_12_18,618.1868803799343
2004_12_26,409.6726625111307
2005_01_01,586.5330958741466
2005_01_09,666.5731671119023
2005_01_17,539.6518848322942
2005_01_25,533.5750667853962
2005_02_02,622.6537251409911
2005_02_10,506.7379637874741
2005_02_18,511.96135351736393
2005_02_26,522.2915998812704
2005_03_06,490.73737013950733
2005_03_14,341.7044226773523
2005_03_22,343.61205105372494
2005_03_30,330.26452953398626
2005_04_07,342.7340457108933
2005_04_15,304.0958147818344
2005_04_23,277.0166815078658
2005_05_01,195.69136242208367
2005_05_09,126.45532799050157
2005_05_17,171.66607301869988
2005_05_25,189.71837340457105
2005_06_02,165.64612644701688
2005_06_10,131.84594835262686
2005_06_18,126.9615316117542
2005_06_26,104.46363906203624
2005_07_04,125.54217868803795
2005_07_12,139.9850994360344
2005_07_20,175.26684476105663
2005_07_28,195.589729890175
2005_08_05,226.11813594538432
2005_08_13,231.21941228851284
2005_08_21,244.93481745325016
2005_08_29,264.8085485307213
2005_09_06,331.2568121104184
2005_09_14,343.87171267438396
2005_09_22,374.1758978925497
2005_09_30,475.08756307509634
2005_10_08,388.0086672603146
2005_10_16,335.0419709112496
2005_10_24,445.5764321757196
2005_11_01,451.92080736123467
2005_11_09,523.9642030276046
2005_11_17,449.32116355001483
2005_11_25,425.40902344909443
2005_12_03,693.4030276046303
2005_12_11,603.4956960522406
2005_12_19,694.592104482042
2005_12_27,451.09670525378436
2006_01_01,556.9351142772335
2006_01_09,555.3149896111603
2006_01_17,573.4239833778568
2006_01_25,653.338676165034
2006_02_02,603.9240724250518
2006_02_10,521.5583852775304
2006_02_18,571.0900563965563
2006_02_26,247.34669041258525
2006_03_06,526.1403977441375
2006_03_14,397.3684772929652
2006_03_22,356.5745325022261
2006_03_30,352.84113980409614
2006_04_07,356.46031463342234
2006_04_15,316.5530424458295
2006_04_23,207.27913327396845
2006_05_01,263.7354704660137
2006_05_09,192.85034134758084
2006_05_17,190.95850400712376
2006_05_25,180.6706441080438
2006_06_02,100.45894924309881
2006_06_10,139.9693677649154
2006_06_18,120.15434847135646
2006_06_26,153.89338082517062
2006_07_04,163.52840605520922
2006_07_12,108.6292074799644
2006_07_20,131.7179578509943
2006_07_28,182.20261205105368
2006_08_05,186.84737310774707
2006_08_13,259.3532799050162
2006_08_21,259.5140991392104
2006_08_29,276.6517067379043
2006_09_06,203.82944493915107
2006_09_14,401.80498664292065
2006_09_22,408.8910655981003
2006_09_30,437.36153161175423
2006_10_08,493.772157910359
2006_10_16,397.4785396260017
2006_10_24,460.89967349361814
2006_11_01,329.8159691303057
2006_11_09,525.1488869100623
2006_11_17,581.4310477886611
2006_11_25,551.1616503413472
2006_12_03,583.320569902048
2006_12_11,505.8736717126742
2006_12_19,515.633481745325
2006_12_27,351.17174235678226
2007_01_01,511.940429571615
2007_01_09,614.7004271982913
2007_01_17,632.3593212293815
2007_01_25,661.6039515841936
2007_02_02,571.4165183339265
2007_02_10,438.11136822119386
2007_02_18,518.4588228313752
2007_02_26,431.8309600094933
2007_03_06,392.67325264032263
2007_03_14,438.13949210869845
2007_03_22,366.7925121632848
2007_03_30,357.58158300700137
2007_04_07,300.2811795419485
2007_04_15,333.1046635813456
2007_04_23,190.54954313516077
2007_05_01,255.42476563427076
