system:index,ET
2000_01_01,313.0121712284036
2000_01_09,313.81149438936046
2000_01_17,320.9340378792375
2000_01_25,272.43495814284864
2000_02_02,340.26301727720704
2000_02_10,254.06821825090537
2000_02_18,285.05717508757357
2000_02_26,300.27043875794095
2000_03_05,204.48055572047733
2000_03_13,286.06453719646134
2000_03_21,201.42225256783232
2000_03_29,227.4837618001543
2000_04_06,174.55601733657892
2000_04_14,181.77480258861246
2000_04_22,137.49124265273403
2000_04_30,156.29133764768744
2000_05_08,130.68711037226146
2000_05_16,110.3461378614261
2000_05_24,87.98729442498369
2000_06_01,83.62144511072849
2000_06_09,74.56717924360265
2000_06_17,92.68366680520097
2000_06_25,77.97939796948287
2000_07_03,87.78833936947098
2000_07_11,75.4121593540343
2000_07_19,94.88024698687879
2000_07_27,98.76494686219792
2000_08_04,107.74814462981657
2000_08_12,98.60814581725344
2000_08_20,118.7902986403847
2000_08_28,130.67559223416254
2000_09_05,154.23564685626076
2000_09_13,190.3488095944903
2000_09_21,192.75366621148248
2000_09_29,217.62405747194674
2000_10_07,173.44867303924477
2000_10_15,197.03722614736083
2000_10_23,190.10550377011216
2000_10_31,239.7235646856261
2000_11_08,206.13999881256296
2000_11_16,248.13441785905124
2000_11_24,356.1460547408417
2000_12_02,348.70931544261714
2000_12_10,376.713530843674
2000_12_18,406.2363593184111
2000_12_26,207.95226503591982
2001_01_01,364.78418334026
2001_01_09,354.83126521403545
2001_01_17,336.017870925607
2001_01_25,258.3021433236359
2001_02_02,376.2963248827406
2001_02_10,327.33384788933085
2001_02_18,316.2349343941102
2001_02_26,292.9836133705398
2001_03_06,257.71406519028676
2001_03_14,262.9913910823487
2001_03_22,247.64329395000885
2001_03_30,216.15662292940684
2001_04_07,173.95078073977317
2001_04_15,185.7867957014783
2001_04_23,156.98830374636347
2001_05_01,104.72421777593068
2001_05_09,120.01721783530245
2001_05_17,91.51730689307128
2001_05_25,92.19652080983194
2001_06_02,102.63705990619248
2001_06_10,90.92145104791305
2001_06_18,95.54473668586355
2001_06_26,92.14213619901439
2001_07_04,86.21991331710501
2001_07_12,90.71869619426464
2001_07_20,81.58546577213085
2001_07_28,98.62767915454486
2001_08_05,109.14736092145101
2001_08_13,123.42884284272397
2001_08_21,117.8040135367808
2001_08_29,127.2035860594906
2001_09_06,163.94496229887778
2001_09_14,189.90631122721598
2001_09_22,192.4782402184884
2001_09_30,230.64685626076115
2001_10_08,231.83399631894548
2001_10_16,242.05949058956242
2001_10_24,266.6258979991687
2001_11_01,220.5198005105978
2001_11_09,247.1543074274179
2001_11_17,225.1503295137445
2001_11_25,299.0909576678739
2001_12_03,252.14065190286763
2001_12_11,291.4932612954936
2001_12_19,339.86451344772297
2001_12_27,204.90298640384728
2002_01_01,298.73247046250657
2002_01_09,285.6810544439826
2002_01_17,256.29353440598464
2002_01_25,266.240574719468
2002_02_02,284.54568663539743
2002_02_10,259.01318054978327
2002_02_18,271.9244790120524
2002_02_26,259.4925488333432
2002_03_06,266.6820637653625
2002_03_14,267.51131033663825
2002_03_22,200.57418512141544
2002_03_30,178.39624769934088
2002_04_07,199.3772487086623
2002_04_15,188.93967820459537
2002_04_23,160.0888202814225
2002_05_01,147.6520216113519
2002_05_09,126.69263195392745
2002_05_17,98.83619307724278
2002_05_25,88.49136139642577
2002_06_02,96.13803954164933
2002_06_10,98.27429792792256
2002_06_18,83.5871875556611
2002_06_26,82.13067743276137
2002_07_04,87.43656118268717
2002_07_12,85.12046547527163
2002_07_20,89.6108769221635
2002_07_28,99.24924300896514
2002_08_05,112.9331473015496
2002_08_13,102.73722021017633
2002_08_21,105.18482455619542
2002_08_29,157.02909220447668
2002_09_06,148.97660749272694
2002_09_14,164.28397553879955
2002_09_22,193.0368105444398
2002_09_30,214.73793267232674
2002_10_08,189.08211126283902
2002_10_16,232.9575491302024
2002_10_24,192.28908151754436
2002_11_01,227.45039482277497
2002_11_09,152.82164697500448
2002_11_17,236.47081873775454
2002_11_25,224.91812622454427
2002_12_03,210.49599240040365
2002_12_11,266.38342338063285
2002_12_19,279.8365493083179
2002_12_27,169.6536840230362
2003_01_01,314.69237162362714
2003_01_09,297.62249925794
2003_01_17,342.9567230632234
2003_01_25,293.2073018699911
2003_02_02,246.97150489759568
2003_02_10,263.46933808251686
2003_02_18,262.8946868506975
2003_02_26,278.53731077471053
2003_03_06,253.0741466310477
2003_03_14,249.58147818343716
2003_03_22,224.80486791332737
2003_03_30,181.8471356485603
2003_04_07,192.98046898189367
2003_04_15,146.63294746215487
2003_04_23,158.1860492727812
2003_05_01,132.0033244286138
2003_05_09,111.71718610863752
2003_05_17,122.79703176016616
2003_05_25,99.99222321163546
2003_06_02,107.85930543187885
2003_06_10,99.37696645888983
2003_06_18,88.72205402196496
2003_06_26,91.5771445532799
2003_07_04,87.82546749777384
2003_07_12,94.3150489759572
2003_07_20,93.75719798159689
2003_07_28,91.54372217275154
2003_08_05,113.04844167408723
2003_08_13,105.65520926090825
2003_08_21,121.73190857821307
2003_08_29,134.7816562778272
2003_09_06,171.12128227960812
2003_09_14,188.2287919263876
2003_09_22,207.06476699317295
2003_09_30,154.57156426239237
2003_10_08,183.43502523003858
2003_10_16,246.10703472840603
2003_10_24,243.1911546452954
2003_11_01,236.19596319382603
2003_11_09,299.8614425645592
2003_11_17,245.518195310181
2003_11_25,281.8315820718314
2003_12_03,275.88489165924614
2003_12_11,321.6863757791628
2003_12_19,360.7062629860491
2003_12_27,215.6330068269515
2004_01_01,308.5647373107747
2004_01_09,243.83555951320864
2004_01_17,324.8930246363907
2004_01_25,359.0108043929949
2004_02_02,329.01169486494496
2004_02_10,347.4489759572572
2004_02_18,272.2523597506677
2004_02_26,269.04476105669323
2004_03_05,280.34425645592154
2004_03_13,258.0285544672008
2004_03_21,242.69195607005045
2004_03_29,245.69581478183434
2004_04_06,218.05123181953095
2004_04_14,200.6215494211932
2004_04_22,169.3900860789551
2004_04_30,145.17672899970316
2004_05_08,132.67402790145437
