system:index,total_evaporation_sum
197501,-0.1047737719221523
197502,-0.07543036590149771
197503,-0.09633554072762229
197504,-0.06936201939990945
197505,-0.05166869196846858
197506,-0.037247647634275516
197507,-0.0417444860783017
197508,-0.05004712585167134
197509,-0.06519526067241385
197510,-0.0895581549282738
197511,-0.11186906597757228
197512,-0.10241362642270191
197601,-0.11985755471773675
197602,-0.10248507314868227
197603,-0.09783348522336152
197604,-0.07159356521352063
197605,-0.04917410081799961
197606,-0.04222343814306514
197607,-0.04190735697948007
197608,-0.05774785957789161
197609,-0.07066991764907345
197610,-0.08910695042938033
197611,-0.11896756732564712
197612,-0.09989625618966565
197701,-0.10101397671122678
197702,-0.09277604632645933
197703,-0.10304707198809815
197704,-0.07357660774320811
197705,-0.053577957544232634
197706,-0.04219841645757438
197707,-0.041197510826714176
197708,-0.05490474591217052
197709,-0.07062068980840254
197710,-0.09561833032444977
197711,-0.10117294888047981
197712,-0.1060144262479945
197801,-0.10513501054274312
197802,-0.10759287620348774
197803,-0.09415582835926492
197804,-0.07867682053387375
197805,-0.052948178832593444
197806,-0.03913964568531198
197807,-0.04630397070848569
197808,-0.05063122293603284
197809,-0.07413754555108712
197810,-0.10199831472729722
197811,-0.10981072599582847
197812,-0.11093986017226933
197901,-0.1329236129305817
197902,-0.1045966805842766
197903,-0.09768941916987421
197904,-0.07554743321385497
197905,-0.05056444687674429
197906,-0.03974200112159727
197907,-0.04283209566619946
197908,-0.05426584311315249
197909,-0.06404206292375263
197910,-0.08338785507106222
197911,-0.10465553248735006
197912,-0.09148782384287536
198001,-0.11513365324417309
198002,-0.09497569220175732
198003,-0.08114369990835969
198004,-0.04596398175103368
198005,-0.05204927726069867
198006,-0.040102918830243736
198007,-0.03849075575641
198008,-0.04624746849370108
198009,-0.04971931706701777
198010,-0.06211639951444727
198011,-0.07738499056759024
198012,-0.08856995227849661
198101,-0.09110040336942836
198102,-0.09653253083876469
198103,-0.08284578542335912
198104,-0.06844502120049564
198105,-0.04413793046132184
198106,-0.0408091404719094
198107,-0.042509537805910956
198108,-0.04582174171632558
198109,-0.058567667672888436
198110,-0.08461267388835174
198111,-0.10406674658940321
198112,-0.1164998573103641
198201,-0.12313188620094805
198202,-0.09961919199855489
198203,-0.0907135216190126
198204,-0.07233385210465713
198205,-0.051497369976181595
198206,-0.03685822017788142
198207,-0.036250575790473444
198208,-0.04766961844363203
198209,-0.06757657621391652
198210,-0.10167270007043612
198211,-0.10565098462577893
198212,-0.10281919693437551
198301,-0.11819789224319445
198302,-0.08667787078023638
198303,-0.09464840904835518
198304,-0.06526206121894147
198305,-0.04974898988018455
198306,-0.038143735529889554
198307,-0.04045476351402288
198308,-0.05321207395674115
