system:index,total_evaporation_sum
19810101,-0.00420383256061009
19810102,-0.004060383892488327
19810103,-0.003891030137342008
19810104,-0.003472485028439478
19810105,-0.0033883168476783526
19810106,-0.0035844619907371
19810107,-0.0033819572522018108
19810108,-0.0039792840348183735
19810109,-0.003405193383967884
19810110,-0.003581911903509034
19810111,-0.00315524496053108
19810112,-0.0033377433148905414
19810113,-0.002618286413553061
19810114,-0.002976543761270634
19810115,-0.002706767845921037
19810116,-0.0024287355945556903
19810117,-0.0024302405626835605
19810118,-0.0027250136102271506
19810119,-0.0025495791777824903
19810120,-0.0024475480163395078
19810121,-0.0026323654823843367
19810122,-0.0026475351873787105
19810123,-0.002531658834389014
19810124,-0.0024891051064325617
19810125,-0.0023696304004559936
19810126,-0.002245014478897611
19810127,-0.0020810008022991468
19810128,-0.002122389884509489
19810129,-0.0020069093609733414
19810130,-0.0022762804064661952
19810131,-0.004163448942657684
19810201,-0.0039121606508443875
19810202,-0.0030311385129902814
19810203,-0.0020282425300139177
19810204,-0.0031899783025443494
19810205,-0.003207430095726075
19810206,-0.003650664855493732
19810207,-0.0030116242028887983
19810208,-0.003930131244741209
19810209,-0.004390386904804301
19810210,-0.004194109219947489
19810211,-0.0024523785642498646
19810212,-0.0038182820217487748
19810213,-0.0038115514852174316
19810214,-0.0041533229298840995
19810215,-0.004026702031444534
19810216,-0.0035806792957720854
19810217,-0.0038599790944053446
19810218,-0.0039983843995563375
19810219,-0.003018553591493296
19810220,-0.002921347282097114
19810221,-0.002895293063138485
19810222,-0.0031952741003142163
19810223,-0.003444375988019942
19810224,-0.003907266816685976
19810225,-0.003631205551776154
19810226,-0.003769439998957172
19810227,-0.0034024923729451153
19810228,-0.002588477162558047
19810301,-0.003073817804291939
19810302,-0.003552544550757109
19810303,-0.003510173671837457
19810304,-0.0029407924150927655
19810305,-0.00309779950746905
19810306,-0.003373682934416411
19810307,-0.0028546270000604996
19810308,-0.003535319322345731
19810309,-0.0037516537647442456
19810310,-0.003281429972369356
19810311,-0.0026436252001402617
19810312,-0.0027110970204649557
19810313,-0.0031902124543835464
19810314,-0.002924073423394601
19810315,-0.002638880480364133
19810316,-0.002546701333406253
19810317,-0.002695961136421397
19810318,-0.0025121709510852134
19810319,-0.0026852615446835773
19810320,-0.002639288389182328
19810321,-0.0024962122121000266
19810322,-0.0025315731327354425
19810323,-0.002484233384949793
19810324,-0.002191885884950984
19810325,-0.002243199171232061
19810326,-0.0018349220688861415
19810327,-0.0021113323439285216
19810328,-0.0020614136250590768
19810329,-0.001954607642944708
19810330,-0.0017350197681249696
19810331,-0.0019054597747972662
19810401,-0.0018738429508946253
19810402,-0.0016947677247746633
19810403,-0.0013809234021204737
19810404,-0.0020072804215419725
19810405,-0.0021514331311933417
19810406,-0.0027902348584882388
19810407,-0.0026545119404874067
19810408,-0.0024562206767175508
19810409,-0.0026744227027460476
19810410,-0.0025429811261213687
19810411,-0.00188730854804648
19810412,-0.0024641108987669704
19810413,-0.0031550552055195314
19810414,-0.002937507940138183
19810415,-0.00265817040434961
19810416,-0.0028065820898941344
19810417,-0.0025311392440743453
19810418,-0.002406875969564018
19810419,-0.0026790588058914337
19810420,-0.0023519236882811358
19810421,-0.0021588601138329434
19810422,-0.0023132515096999074
19810423,-0.0022804270367047085
19810424,-0.0022401861511346377
19810425,-0.0023817390713940477
19810426,-0.001982113664314226
19810427,-0.002363200853131482
19810428,-0.0020426484018842583
19810429,-0.0014006140216006274
19810430,-0.0017950984507021325
19810501,-0.0016915893678997281
19810502,-0.0013938047069037578
19810503,-0.0015171969355715093
19810504,-0.0014598091716227924
19810505,-0.0014318833430540159
19810506,-0.0018527985447384925
19810507,-0.002065772676289544
19810508,-0.0013835697788880648
19810509,-0.0017458235184930092
19810510,-0.001667883416265495
19810511,-0.0014886943950441112
19810512,-0.0013598842773978193
19810513,-9.828895455293123E-4
19810514,-9.85139250241997E-4
19810515,-0.0011990777083904604
19810516,-0.0013866303080994956
19810517,-0.0010441282636595767
19810518,-0.0014267619291237605
19810519,-0.0011238754104319721
19810520,-8.016623406345969E-4
19810521,-0.001337111806169036
19810522,-0.0010413669223256208
19810523,-0.0021169036697638796
19810524,-0.0015924881676381004
19810525,-0.0016700561697768638
19810526,-0.0015578508361063035
19810527,-0.0010997111560980982
19810528,-0.001458871972470475
19810529,-0.0016132630524437232
19810530,-0.0015970838371190687
19810531,-0.001578672879875435
19810601,-0.0013908824350227298
19810602,-0.0016726231977533237
19810603,-0.001757972128450646
19810604,-0.0014065871696708578
19810605,-0.0016201587337991293
19810606,-0.0018045772703056252
19810607,-0.0012435697767822571
19810608,-0.0012164874449446192
19810609,-0.0014853672011128616
19810610,-0.0017128183691107874
19810611,-0.0015405030015567796
19810612,-0.0014938090906036125
19810613,-0.0014430579543005925
19810614,-0.0013762588249305449
19810615,-0.001294731342933171
19810616,-9.878473591159824E-4
19810617,-0.0010527473440830133
19810618,-0.0013162205088129214
19810619,-0.0011023442169851838
19810620,-0.001326579068630199
19810621,-9.357746547172087E-4
19810622,-0.001318678926394143
19810623,-0.00116693649056404
19810624,-0.001314552677978506
19810625,-0.0013445798479480016
19810626,-0.0013001120045665969
19810627,-0.0012473564556185358
19810628,-0.0013776382842161353
19810629,-0.0014544405567523348
19810630,-0.0013605605075399105
19810701,-0.0018919213957638698
19810702,-0.0017078584081627731
19810703,-0.0013215434002714801
19810704,-0.0015189004696706688
19810705,-0.001390102051023272
19810706,-0.0012185534236853815
19810707,-0.0013287455235511073
19810708,-0.0012993853694577167
19810709,-0.0011587115891485945
19810710,-0.001081360696638974
19810711,-0.0012880650557273372
19810712,-0.0011320470671858744
19810713,-9.823163185631375E-4
19810714,-8.041833741856733E-4
19810715,-0.0012977471424488092
19810716,-0.0013144720022182168
19810717,-0.0011727905386584951
19810718,-0.0011619177929380218
19810719,-0.00102644068886264
19810720,-0.0013256828323518403
19810721,-0.0011006178714490155
19810722,-0.0018814520866964686
19810723,-0.0016185275698842772
19810724,-0.0019717015103777416
19810725,-0.001518774851630085
19810726,-0.0011758682646588962
19810727,-0.0014073229519563195
19810728,-0.002637455656131148
19810729,-0.0012832204338608392
19810730,-0.0013909154196076897
19810731,-0.0013237636530817113
19810801,-0.0014901633294640108
19810802,-0.0013158778172860232
19810803,-8.979695342582135E-4
19810804,-0.0013628566456266738
19810805,-9.268907067848002E-4
19810806,-0.0014307768007358235
19810807,-0.0012708011273141334
19810808,-0.0017787653945215815
19810809,-0.00177297951873151
19810810,-0.0012524637733064962
19810811,-0.0013380283482510094
19810812,-0.0015758637154198022
19810813,-0.0016901592757435225
19810814,-0.0017682307904500283
19810815,-0.0014080201211905971
19810816,-0.0017955070299139968
19810817,-0.001979219127685979
19810818,-0.001499188876456638
19810819,-0.0015150752332868905
19810820,-0.0023198150389544953
19810821,-0.0022505201122731675
19810822,-0.0015242360539981926
19810823,-0.0011891658460759247
19810824,-0.0015876343900885605
19810825,-0.0012360877396452939
19810826,-9.142876420494007E-4
19810827,-0.001391917905565625
19810828,-0.0015444936339938497
19810829,-0.0012330113674036245
19810830,-0.0011776492464517627
19810831,-0.0017267323848799887
19810901,-0.0013958372060298195
19810902,-0.0015533151529060548
19810903,-0.0016097909960126578
19810904,-0.0015275644547689208
19810905,-0.0013270063088582642
19810906,-0.0016055946469052595
19810907,-0.0017577109400815434
19810908,-0.0018951884852092579
19810909,-0.0018678878579574476
19810910,-0.0017150335897922326
19810911,-0.001925773266248699
19810912,-0.0019083020291101032
19810913,-0.001799992375467806
19810914,-0.0015099795749523373
19810915,-0.001966032230585153
19810916,-0.0019448883263377288
19810917,-0.0018953198210916243
19810918,-0.002022679951897971
19810919,-0.002039856689488356
19810920,-0.0026297733472661093
19810921,-0.002294734862778852
19810922,-0.0022908578043907336
19810923,-0.0024942615316405695
19810924,-0.0018753343360930564
19810925,-0.001960758027328237
19810926,-0.003199745961936837
19810927,-0.0023320723758958996
19810928,-0.002042437135114905
19810929,-0.0022534911176209783
19810930,-0.002408149381669952
19811001,-0.0023742808450683437
19811002,-0.0023717633876943383
19811003,-0.003774389305507191
19811004,-0.001978155730976105
19811005,-0.0021122329181931937
19811006,-0.002308917851597599
19811007,-0.0021672263654273134
19811008,-0.0020339994358444164
19811009,-0.002195366923625699
19811010,-0.0023454949575382267
19811011,-0.00244844074195208
19811012,-0.002516168578564664
19811013,-0.0027397445911579456
19811014,-0.0030551392550089507
19811015,-0.003464301224846615
19811016,-0.001983985315109493
19811017,-0.001813962653228188
19811018,-0.0018595465539991084
19811019,-0.0030204491623366143
19811020,-0.003064762151977615
19811021,-0.003235337620896358
19811022,-0.0031565384790969496
19811023,-0.002209457099583362
19811024,-0.002512391158181772
19811025,-0.00393743900511987
19811026,-0.003822688928702598
19811027,-0.0038165050951120714
19811028,-0.0034846950467961675
19811029,-0.003425788113205039
19811030,-0.003107015620974047
19811031,-0.002726557666613203
19811101,-0.0018717140125769397
19811102,-0.0022196447305306774
19811103,-0.0029138475731566387
19811104,-0.003420779343040412
19811105,-0.0035919312668379498
19811106,-0.0036995741912448756
19811107,-0.0032805570035281113
19811108,-0.0030311863275670078
19811109,-0.0037651864591918805
19811110,-0.0036608439580420194
19811111,-0.004483441944477487
19811112,-0.003821336141516339
19811113,-0.004253208296825212
19811114,-0.0027471225473775407
19811115,-0.0034642717067015533
19811116,-0.004090575201633642
19811117,-0.003641811345096822
19811118,-0.0036060066781996563
19811119,-0.002590737079486809
19811120,-0.0025481709452251427
19811121,-0.003283661958473755
19811122,-0.003605452157437842
19811123,-0.003732720418214418
19811124,-0.004283482847833204
19811125,-0.003733503183137189
19811126,-0.0035054955785765486
19811127,-0.004075077140959684
19811128,-0.004239549390578437
19811129,-0.003634436834262673
19811130,-0.0037793816853798675
19811201,-0.00322165168169932
19811202,-0.00388283761589857
19811203,-0.004152777851330585
19811204,-0.004646781027830666
19811205,-0.0049352873579236655
